TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,PPFD_IN,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20091230,0.1892,-3.7857142857142856,-0.8087142857142856,16.771428571428572,0.1013,0.497904761904762,1.0456,0.21236681890275494,92.88333333333334,97.27838958333332,-9.410416666666665,19.482000000000006,0.23708333333333356,0.8352083333333331,1.7599999999999996,-9999,0.12905839583333334,0.17202354166666664,0.00026279375,0.2662258333333333,150.3125,1.018708333333333,0.042964947916666635,-0.8559022916666668,-0.12334481250000008,15.169713520833339,0.031125,259.11250000000007,1.0456,0.009541666666666664,92.88333333333334,97.2700416666666,-9.309374999999998,20.628000000000007,-9999,1.0277083333333334,-0.20373520744326115,0.17299401722402732,14.535873533434785,1.0
20091231,0.05146666666666666,5.254720000000002,-0.125396,14.027599999999998,0.13382954545454548,0.497904761904762,1.0456,0.2309454248844834,89.49708333333331,97.72409875000004,-13.131666666666668,0.0,0.2345833333333335,0.8245833333333333,1.73625,-9999,0.06842266666666665,0.126383,0.0003482854166666667,0.17956370833333335,244.9375,1.1895625,0.05796041666666665,3.051888541666667,-0.000471508333333331,13.305039937499998,0.0415,252.5723541666668,1.0638270833333332,0.12760416666666666,89.49708333333331,97.70595833333334,-12.961458333333333,0.0,-9999,1.1887083333333333,-0.1470658936875606,0.11237514280936488,14.052899690085207,1.0
20100101,0.19575333333333333,3.5211764705882347,0.19123529411764725,16.235294117647058,0.128,0.6587460317460317,1.3833666666666666,0.19162928676880814,82.75125,98.74244041666668,-21.225833333333334,0.0,0.2187500000000001,0.8131249999999998,1.7050000000000012,-9999,-0.1334342270833333,0.060602095833333335,0.0006858625,0.0606739125,238.58333333333331,1.08925,0.1940350000000001,0.3722187500000007,-0.24289104166666664,16.60794279166667,0.08233333333333333,230.17943750000003,1.1956777083333336,0.06772916666666666,82.75125,98.7281875,-21.14583333333333,0.0,-9999,1.0909166666666663,-0.24458059483848746,0.18578962467169846,14.731381098612887,1.0
20100102,0.2865458333333334,4.6133461538461535,0.43685,17.692307692307697,0.16444615384615385,0.49404761904761896,1.0375,0.2272924903863831,83.96333333333334,98.44358104166666,-18.64270833333333,0.0,0.2191666666666668,0.8049999999999998,1.7000000000000013,-9999,-0.11929771041666674,0.1128955625,0.0005120375000000001,0.07970702083333334,176.0,1.6794583333333335,0.23219208333333344,1.405935416666666,0.00850083333333328,17.40105829166667,0.061749999999999985,228.75360416666663,0.9471964583333338,0.024708333333333343,83.96333333333334,98.47379166666664,-18.79958333333333,0.0,-9999,1.6362708333333331,0.01600810891270145,0.2317325859906281,16.05212022146801,1.0
20100103,0.0929153846153846,8.224142857142859,1.2538571428571432,16.122857142857143,0.17510303030303032,0.49404761904761896,1.0375,0.2284161377524558,82.80687499999998,96.7448025,-19.496875,5.827999999999999,0.2108333333333333,0.7962500000000001,1.7000000000000013,-9999,-0.09069962500000002,0.1154933770833333,0.0005089354166666666,0.07605030416666668,175.95833333333337,1.3176041666666665,0.2061941666666666,4.706191666666668,0.35771671250000003,16.749766208333334,0.061749999999999985,247.35347916666646,1.0490493749999998,0.07835416666666667,82.80687499999998,96.76002083333331,-19.266666666666666,5.639999999999999,-9999,1.3629999999999998,0.03506514848861419,0.15374900329329896,14.67772048731085,1.0
20100104,0.08757692307692308,-2.3513846153846147,0.026692307692307588,15.306153846153846,0.20575,-0.2583722943722941,-0.5425818181818184,0.16374153548496362,78.02815789473685,97.38390645833336,-24.99604166666667,5.1335000000000015,0.20124999999999996,0.7854166666666665,1.7000000000000013,-9999,-0.1286696041666667,0.04274570666666667,0.0006268479166666668,0.032629523333333334,241.84210526315792,1.5611458333333337,0.1714160416666666,0.654407291666667,-0.13515706249999998,15.923407604166654,0.076625,207.3466041666668,0.8702741666666665,0.07731249999999999,79.06633333333333,97.36566666666666,-24.944583333333334,5.2739999999999965,-9999,1.5563125,-0.3727832121827084,0.15813782914859745,14.166613334348511,1.0
20100105,-9999,-9999,-9999,-9999,0.05333333333333334,0.49404761904761896,1.0375,0.16313405959112987,78.54041666666669,97.72374291666668,-25.67833333333333,1.0625,0.2,0.7885416666666664,1.6933333333333325,-9999,-0.37138020833333335,0.01617033333333333,0.0005027291666666666,0.01616966666666667,152.0625,0.6205833333333335,0.3875470833333335,-8.745151458333334,-0.8865608333333334,17.705965750000004,0.061749999999999985,192.09604166666665,1.4385504166666667,0.015895833333333345,78.54041666666669,97.72075,-25.86395833333333,1.1339999999999997,-9999,0.6140833333333334,-0.4787910783479797,0.18161577709969548,13.694805743389535,1.0
20100106,-0.7094499999999999,5.233999999999999,-0.4524000000000002,1.9666666666666677,0.08951111111111111,0.7763877551020407,1.6304142857142856,0.16932309331832915,79.50770833333333,97.95290854166667,-24.54333333333333,0.0,0.20124999999999996,0.7793750000000004,1.668125,-9999,-0.11566945624999997,0.032552623541666666,0.0009142708333333332,0.042261499791666685,170.29166666666666,0.7304583333333331,0.1482233333333333,1.1886145833333337,-0.31853287499999977,15.773340291666674,0.11320833333333333,217.19166666666663,1.3323702083333333,0.019833333333333345,79.50770833333333,97.9453125,-24.315624999999994,0.0,-9999,0.7392499999999999,-0.4449119114038521,0.10567951712675328,13.08322737681772,1.0
20100107,1.2111,-0.05000000000000071,-5.024333333333334,23.26,0.1447,0.846972789115646,1.7786428571428572,0.1402504522808435,75.03520833333334,98.2747875,-29.059791666666676,0.0,0.2,0.7675000000000001,1.6272916666666664,-9999,-0.2401325,0.006203683708333335,0.0009909854166666664,0.015216490354166666,228.1875,1.0606041666666666,0.24633645833333334,-0.014890000000000209,-0.33417989583333324,19.763298916666674,0.12349999999999997,189.42304166666668,2.09465875,0.016145833333333342,75.03520833333334,98.27360416666666,-29.242291666666674,0.0,-9999,1.0510208333333333,-0.7075192325525621,0.22391838190117155,14.469011927766745,1.0
20100108,-9999,-9999,-9999,-9999,0.33399999999999996,0.7410952380952379,1.5562999999999998,0.15838260530089115,78.53145833333333,98.17417895833334,-25.861875,0.0,0.2,0.7608333333333336,1.607499999999999,-9999,-0.2869482083333334,0.006268674583333334,0.0009851895833333333,0.02103225000000001,194.75,1.03975,0.2932127083333333,-4.692123125000002,-0.668982083333333,15.836732833333334,0.12349999999999997,201.2654791666668,1.7536402083333331,0.031208333333333324,78.53145833333333,98.167125,-26.10333333333333,0.0,-9999,1.0046458333333332,-0.29050609260646765,0.17867356146275482,13.820820489053965,1.0
