TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,D_SNOW,TS_1,TS_2,G_1,G_2,SWC_1,SWC_2,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20140101,-9999,-9999,-9999,-9999,-9999,3.499942391304348,4.235574926086955,231.28456521739133,250.02891304347816,-20.68146695652174,6.659421409782608,-9999,0.7366315869565215,78.48934782608696,-9999,-10.28387608695652,0.0,-9999,-1.2993326086956525,-1.1478913043478258,-7.083882608695652,-9.485071739130435,-9999,-9999,0.3087742916666667,1.466818958333333,0.03789372291666666,1.3898983333333337,-9999,-9999,1.1580574999999993,-23.91461895833334,-0.020255249999999968,-9999,3.354125,4.1315801374999985,230.95425000000003,249.16604166666664,-20.28515583333333,6.5136913510416665,0.7183333333333333,78.846875,97.99483333333336,-10.65620833333333,0.071,1.8616458333333328,-0.5445097388370569,1.1135452582022276,-15.364190807937007,3.0
20140102,-9999,-9999,-9999,-9999,-9999,1.8169506666666668,1.539865739583334,243.67541666666665,244.73104166666675,-1.059361770833333,3.104977529375,-9999,0.25728249999999997,85.31824999999998,-9999,-16.141375,0.0,-9999,-1.089842083333333,-1.0083658333333334,-6.151410416666668,-7.190754166666667,-9999,-9999,-0.05569479166666667,1.0551945833333336,0.02241059229166667,0.8503760416666667,-9999,-9999,1.110894791666667,-6.0160527083333335,-0.3535991874999999,-9999,1.8169583333333328,1.539865739583334,243.67541666666665,244.73104166666675,-1.059361770833333,3.104977529375,0.2573333333333333,85.31824999999998,99.36991666666668,-16.141375,0.0,1.106270833333333,-1.7117806157554858,1.082638508531988,-15.712081246634858,3.0
20140103,-9999,-9999,-9999,-9999,-9999,1.867698320833333,2.1845316041666667,253.57895833333333,264.64333333333326,-12.032977083333336,4.076610727083333,-9999,0.5561535416666666,82.16681250000003,-9999,-8.93746875,0.0,-9999,-0.9006547916666668,-0.8660724999999999,-5.469014583333332,-6.5627,-9999,-9999,-0.2057363010416668,1.5998666666666663,0.022400090249999997,1.5385020833333336,-9999,-9999,1.80560625,-29.81833333333334,-0.3938939583333333,-9999,1.8677083333333335,2.1845316041666667,253.57895833333333,264.64333333333326,-12.032977083333336,4.076610727083333,0.5561875,82.16681250000003,100.54814583333336,-8.937541666666668,0.0,1.2219166666666663,-1.0462079179027015,1.1191714484935429,-21.906292201813756,3.0
20140104,-9999,-9999,-9999,-9999,-9999,1.9244901770833327,2.1536951354166667,246.9514583333333,259.13375,-12.93868875,4.660641515833333,-9999,0.4658752083333335,84.83760416666667,-9999,-10.05545625,0.0,-9999,-0.8105122916666666,-0.783072083333333,-4.9009187500000015,-5.818964583333332,-9999,-9999,0.12274452083333336,1.5142058333333333,0.02307128237499999,1.431943958333333,-9999,-9999,1.3914575000000002,-25.16756666666667,-0.8491501041666666,-9999,1.9244791666666667,2.1536951354166667,246.9514583333333,259.13375,-12.93868875,4.660641515833333,0.4659166666666666,84.83760416666667,100.44762500000002,-10.055437500000002,0.0,1.9106458333333332,-1.192031122714161,1.0962109674324672,-25.449703416529893,3.0
20140105,-9999,-9999,-9999,-9999,-9999,1.9769492645833333,2.04961468125,268.71000000000004,278.16541666666666,-9.981729227083333,4.111908531041667,-9999,0.5048248750000001,86.65550000000003,-9999,-6.373718749999999,0.0,-9999,-0.7277729166666665,-0.7057425000000003,-4.6126708333333335,-5.645012499999999,-9999,-9999,0.36229370833333335,1.7909041666666663,0.02366823020833333,1.8135458333333336,-9999,-9999,1.4286374999999998,-43.13643749999999,0.08714483333333332,-9999,1.9769583333333332,2.04961468125,268.71000000000004,278.16541666666666,-9.981729227083333,4.111908531041667,0.5047083333333334,86.65550000000003,98.87110416666671,-6.373708333333332,0.0,1.7937916666666671,-0.9437737585316744,1.0869424067423472,-15.47535681891207,3.0
20140106,-9999,-9999,-9999,-9999,-9999,1.2778905,1.6835472083333332,246.60062500000006,261.17270833333333,-15.697194583333333,2.9517753793750003,-9999,0.2536047708333333,91.76964583333334,-9999,-9.739066666666668,0.0,-9999,-0.6765195833333336,-0.6373054166666666,-4.112406249999999,-4.776031250000002,-9999,-9999,0.2571355416666666,1.5367895833333327,0.015788110625,1.4681564583333335,-9999,-9999,1.2796441666666662,-20.226867708333334,-1.1315173125000002,-9999,1.2779166666666668,1.6835472083333332,246.60062500000006,261.17270833333333,-15.697194583333333,2.9517753793750003,0.2535625000000001,91.76964583333334,99.00777083333334,-9.739104166666666,0.0,1.0338541666666667,-1.3945860578971034,1.0774101260771347,-14.476128722992756,3.0
20140107,-9999,-9999,-9999,-9999,-9999,2.8052522916666667,2.977128916666667,243.76333333333332,253.40645833333335,-10.213865416666662,5.3993239283333345,-9999,0.2414033333333333,89.87652083333336,-9999,-12.48730416666667,0.0,-9999,-0.77092875,-0.6762729166666666,-4.86430625,-5.408945833333335,-9999,-9999,-0.09990604999999997,1.3301445833333334,0.03328398291666666,1.19128625,-9999,-9999,1.430053125,-17.215196458333335,-1.3586260625,-9999,2.8052499999999987,2.977128916666667,243.76333333333332,253.40645833333335,-10.213865416666662,5.3993239283333345,0.2414374999999999,89.87652083333336,98.71022916666668,-12.487270833333335,0.0,0.6587500000000002,-1.5125609008145553,1.0674393181016428,-10.275682503198444,3.0
20140108,-9999,-9999,-9999,-9999,-9999,1.6501830625000002,1.7338338160416669,256.4927083333333,262.63958333333335,-6.544972666666667,4.330899800625,-9999,0.2395095833333333,90.499,-9999,-11.49136875,0.0,-9999,-0.7469170833333335,-0.6663810416666666,-4.649779166666667,-5.421210416666668,-9999,-9999,-0.5313022916666666,1.4066687500000004,0.020107333125,1.2745895833333336,-9999,-9999,1.9379729166666653,-14.164020833333325,-0.16798837499999986,-9999,1.6501875000000004,1.7338338160416669,256.4927083333333,262.63958333333335,-6.544972666666667,4.330899800625,0.2394791666666667,90.499,97.99852083333332,-11.491374999999998,0.0,1.5548541666666669,-1.4704890830128508,1.0892291681196284,-17.360408841881394,3.0
20140109,-9999,-9999,-9999,-9999,-9999,2.5509821041666667,2.98724925,244.7879166666667,246.66333333333333,-2.7671585416666677,3.9108469139583337,-9999,0.2243477083333333,87.86102083333333,-9999,-15.31575,0.0,-9999,-0.7769722916666665,-0.6799058333333335,-4.746775,-5.303904166666666,-9999,-9999,0.27851687500000005,1.1150385416666666,0.0302398825,0.9068422916666669,-9999,-9999,0.8365179166666669,-5.568518958333335,-0.4396528541666666,-9999,2.550979166666667,2.98724925,244.7879166666667,246.66333333333333,-2.7671585416666677,3.9108469139583337,0.22433333333333327,87.86102083333333,98.02397916666666,-15.31575,0.0,2.036083333333333,-1.6286612664960414,1.0533945447290274,-26.95537093208358,3.0
20140110,-9999,-9999,-9999,-9999,-9999,1.722743666666667,3.094390185416666,214.64145833333333,213.67645833333327,-1.1869889375000002,4.774903693333335,-9999,0.1708373125,80.45802083333331,-9999,-23.732187499999995,0.0,-9999,-0.9547452083333332,-0.7897506250000003,-5.779724999999999,-6.05528125,-9999,-9999,-0.7950145833333332,0.5709724999999999,0.02077327208333333,0.4014263312499999,-9999,-9999,1.3659816666666666,-5.111626041666668,-1.4282606249999994,-9999,1.7227291666666666,3.094390185416666,214.64145833333333,213.67645833333327,-1.1869889375000002,4.774903693333335,0.17081249999999995,80.45802083333331,98.55925000000003,-23.732187499999995,0.0,1.4721666666666664,-1.6454289368018984,1.0724690191904451,-19.987738955465414,3.0
