TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,WTD,SWC_1,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160604,-1.2965555555555557,52.13462790697674,89.09629545454544,61.31477272727273,0.3214297916666667,-9999,-9999,-9999,5.844430534272357,49.02566666666666,98.49776041666668,8.085902083333332,0.0,11.425833333333335,-9999,-9999,-9999,-9999,-9999,-0.10115908333333333,59.75010416666667,1.864364041666667,0.9277775,1.5336139687499994,0.6481641666666665,319.98104166666667,4.052500000000001,-0.9365877083333332,42.81021458333333,82.5919604166667,61.58639583333334,277.68193750000006,274.4752499999999,-9999,-9999,5.8496041666666665,49.02566666666666,98.51133333333333,8.085854166666666,0.0,-0.10115908333333333,4.052500000000001,82.13839619336919,-0.9457258229848424,61.12637525333792,1.0
20160605,-1.3185277777777782,73.44441463414637,89.47692857142857,62.324146341463404,0.25601333333333337,-9999,-9999,-9999,5.627611725133929,48.272875000000006,98.9839125,7.2709479166666675,0.244315,10.944375,-9999,-9999,-9999,-9999,-9999,-0.10805895833333334,59.76369791666667,1.9615110416666663,0.8968681250000001,1.6330236500000002,0.5580358333333333,260.35541666666666,2.7389583333333345,-1.0646383333333336,59.12127083333335,79.23628333333333,62.50466666666669,299.854625,262.5566249999998,-9999,-9999,5.632270833333334,48.272875000000006,99.00072916666666,7.270937500000002,0.244,-0.10805895833333334,2.7389583333333345,78.8348099941394,-1.0501380642984328,61.64549839732592,1.0
20160606,-1.6990399999999994,81.13631249999997,112.67136842105259,59.79588235294118,0.17638470833333342,-9999,-9999,-9999,7.067408131432267,53.65408333333333,98.91414791666668,9.713821666666666,0.146553,12.6204375,-9999,-9999,-9999,-9999,-9999,-0.11311250000000005,59.75729166666668,1.9384719812499995,0.9370085416666664,1.5560205020833324,0.3562527083333333,208.01375,1.152708333333333,-1.001461875,61.28959791666666,91.66023812499998,60.62643749999999,333.9940625000001,286.5717500000001,-9999,-9999,7.0745416666666685,53.65408333333333,98.94062500000004,9.713833333333332,0.146,-0.11311250000000005,1.152708333333333,91.6997401337442,-1.0044360874530809,59.54392501723992,1.0
20160607,-1.2956111111111113,40.56721052631581,75.12357499999997,63.302564102564105,0.28542360416666673,-9999,-9999,-9999,7.832197041067972,55.66027083333334,98.15149166666664,13.332122916666664,0.0,13.269979166666666,-9999,-9999,-9999,-9999,-9999,-0.11769354166666665,59.73776041666667,1.8878124374999992,1.003153125,1.1013714395833334,0.2838072916666667,270.6933333333333,3.4577083333333323,-0.8846541666666669,27.00045833333334,63.98652083333334,63.16954166666667,235.721625,326.95118750000006,-9999,-9999,7.840125,55.66027083333334,98.17929166666664,13.332124999999998,0.0,-0.11769354166666665,3.4577083333333323,62.930472101358326,-0.8773377787399661,62.53134270567062,1.0
20160608,-0.36914285714285705,32.1103125,57.165148936170205,66.83708333333334,0.6488489583333331,-9999,-9999,-9999,5.024356840825911,49.72314583333332,97.53053958333334,6.750041666666665,0.17101,7.811187499999999,-9999,-9999,-9999,-9999,-9999,-0.12376999999999998,59.73640625000001,1.2764766437499997,0.8559695833333332,1.0345618958333334,0.17604625,304.04354166666667,8.172291666666668,-0.4205085416666667,32.1103125,56.21947916666665,66.83708333333334,223.13860416666668,279.4180625,-9999,-9999,5.028083333333333,49.72314583333332,97.540875,6.750062500000001,0.171,-0.12376999999999998,8.172291666666668,56.08328325009182,-0.4293146374750125,66.83708333333334,1.0
20160609,-0.5497631578947368,13.604127659574466,45.11760869565217,66.53145833333332,0.495828125,-9999,-9999,-9999,4.412056102583303,54.70420833333335,97.50634583333336,6.0232479166666675,0.708909,6.9721875,-9999,-9999,-9999,-9999,-9999,-0.13173895833333335,59.76390625000001,1.2204323124999998,0.8252624999999999,0.938857077083333,0.207971875,319.50791666666663,6.015208333333334,-0.3951720833333334,12.670208333333333,43.45614583333333,66.53145833333332,159.7026875,290.73899999999975,-9999,-9999,4.415166666666667,54.70420833333335,97.5177916666667,6.023250000000001,0.7090000000000001,-0.13173895833333335,6.015208333333334,43.249723196172425,-0.4167276262769983,66.53145833333332,1.0
20160610,-0.462060606060606,22.61709756097561,10.185272727272727,67.81558139534884,0.3038077708333334,-9999,-9999,-9999,0.9000697119267852,90.39052083333335,97.80193541666664,4.369130208333333,2.4973360000000002,7.037145833333335,-9999,-9999,-9999,-9999,-9999,-0.11615750000000002,59.78145833333334,1.0631590625000005,0.8093983333333336,0.6821248937500003,0.2744483333333333,222.21937500000004,3.2695833333333333,-0.2537539583333333,13.7133125,8.938548749999997,67.47208333333334,81.45925000000003,318.2551875000001,-9999,-9999,0.9006666666666671,90.39052083333335,97.84535416666664,4.369125000000001,2.4979999999999998,-0.11615750000000002,3.2695833333333333,7.148232516734312,-0.2429724910738495,67.15626499225364,1.0
20160611,-1.7191935483870964,57.93818181818181,36.23599999999999,63.54147058823529,0.1889986875,-9999,-9999,-9999,3.1463684738388698,72.67235416666666,98.34692291666666,7.639352083333335,0.0,9.844708333333333,-9999,-9999,-9999,-9999,-9999,-0.12015875,59.76088541666665,1.8663454166666664,0.9211470833333332,1.36869671875,0.5792343750000001,152.84062499999996,1.8635416666666669,-0.9451951458333332,28.82570416666667,30.13280625,63.69397916666666,166.68391666666662,294.02612499999987,-9999,-9999,3.1491666666666682,72.67235416666666,98.36879166666664,7.6394375,0.0,-0.12015875,1.8635416666666669,28.186079425620765,-0.9336677888291416,62.763553802436974,1.0
20160612,-1.5592903225806454,54.29822857142857,74.62321052631576,60.02416666666666,0.17012268750000006,-9999,-9999,-9999,5.597309348991163,60.72227083333335,98.01727500000004,9.664357083333332,0.12306900000000001,10.880375,-9999,-9999,-9999,-9999,-9999,-0.12693458333333332,59.75874999999997,2.010251479166666,1.0071704166666666,2.106741145833333,1.0886487500000002,192.86229166666664,1.55,-1.0030779791666669,38.76714375,59.97145708333331,61.2159375,226.65602083333337,300.35750000000024,-9999,-9999,5.603145833333335,60.72227083333335,98.04620833333335,9.664374999999998,0.12300000000000001,-0.12693458333333332,1.55,59.65546772451682,-0.9946231725994767,60.49287276305493,1.0
20160613,-2.3073448275862067,83.40839393939395,98.05684210526314,58.772,0.17876635416666672,-9999,-9999,-9999,7.407851057080856,49.20672916666669,97.35724375,11.367347916666667,0.212323,12.873937499999998,-9999,-9999,-9999,-9999,-9999,-0.13349979166666667,59.73651041666667,2.3866144583333337,1.0910022916666666,2.5491506666666663,1.3983216666666662,239.54645833333336,1.910625,-1.2956102083333334,47.853739375,79.24279583333332,59.99145833333335,294.986,298.32200000000006,-9999,-9999,7.415333333333333,49.20672916666669,97.38622916666668,11.367395833333333,0.212,-0.13349979166666667,1.910625,79.41794407338823,-1.312334604335636,59.544579622011575,1.0
