TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,PA,TA,P,TS_1,TS_3,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20120413,4.998184000000001,37.891222222222225,22.1427,31.919285,0.20004230212765955,94.85815361702127,32.459214893617016,198.760899787234,0.8570829763157896,89.78446808510634,100.17117872340424,6.602127659574469,1.48,-9999,7.753844680851065,-0.3322917021276597,-1.6662532499999996,0.9046973333333334,0.5004688083333332,0.5766027291666665,219.8743361702128,1.4260667446808517,2.570941666666668,17.69715416666666,26.444679166666663,42.15797291666666,92.8819375,284.7752499999998,30.71443958333333,194.78805645833324,1.0323958333333332,89.53489583333332,100.16933333333333,6.589291666666668,1.48,-0.3322135416666668,1.4172708333333337,25.06639999297999,2.1211207162595813,43.07355427717689,1.0
20120414,-0.469919851851852,46.7385741935484,35.73866666666667,44.02269999999999,0.17832159148936175,212.0685831914893,94.90018319148935,440.28385659574445,2.8012177187500003,82.83542553191491,100.52072340425535,6.231914680851062,0.0,-9999,7.940391489361702,-0.329583829787234,0.7180803541666666,0.7653283125000002,0.6359424791666667,0.3245246229166667,151.2922557446809,1.4822964680851067,0.04724550000000005,25.694627083333344,31.945,44.05820833333334,212.25695833333333,268.6559375,91.87751270833333,431.28162749999984,1.7050000000000003,82.74206250000002,100.51710416666668,6.236979166666668,0.0,-0.329538125,1.4794791666666665,30.793705634521285,-0.2636669697423649,43.112374023365156,1.0
20120415,-0.04798776470588231,41.32280593749999,39.07589722222223,44.0308611111111,0.20377301914893625,249.0188926808511,119.53593617021276,496.65312574468084,3.226231276595744,79.9028510638298,100.97312765957443,7.0014189361702135,0.0,-9999,8.082572340425534,-0.3265625531914893,0.3918962708333334,0.6778167500000002,0.4540305395833333,0.23819683333333336,106.47852787234038,1.814543468085107,0.2859253333333333,25.51952479166665,35.37063125000001,45.36602083333332,243.35935416666663,277.68025000000017,116.00545833333332,486.4736704166667,2.0425624999999994,79.89302083333331,100.96685416666666,6.999791666666668,0.0,-0.3265597916666666,1.8043750000000005,35.495907874004814,0.012757636387044307,45.184352795839224,1.0
20120416,-0.2461769361702128,58.87807608695652,52.65567391304346,61.55254347826088,0.511198425531915,271.6666567234042,125.77334042553193,559.094839574468,2.540829782608696,73.78223404255318,101.39500000000002,6.022695106382978,0.0,-9999,8.25243829787234,-0.3237500000000001,0.7356849854166666,0.5235709999999999,0.6055486083333333,0.4137178354166666,306.26217236808515,3.894329574468084,-0.2121128333333333,59.0415375,52.57156249999998,61.770375,266.00695833333333,249.107375,122.12431250000002,547.6091674999999,2.4867916666666665,73.90974999999997,101.39137500000004,6.047395833333333,0.0,-0.3237970833333334,3.8717083333333338,52.83934044169877,-0.2342169117039949,62.149291080380586,1.0
20120417,-0.2475904304347826,33.7190893478261,46.02102173913042,62.43482608695652,0.3871659574468084,192.5531793617021,89.25897234042557,415.6228319148937,3.1657497826086938,62.55953191489364,100.83542553191488,5.921985319148938,0.0,-9999,8.438072340425531,-0.32135404255319155,0.7656447916666665,0.5313818333333332,0.5740228124999999,0.4488699020833334,230.6088936170213,3.2830484042553185,-0.2342637458333333,33.81958979166667,45.58950000000001,62.14452083333333,190.2980416666666,256.73837499999985,86.33122291666672,407.11532000000017,3.721729166666668,62.91308333333334,100.84516666666666,5.9513333333333325,0.0,-0.32144333333333336,3.2732083333333333,45.990513999858855,-0.248827593087952,62.75946894013185,1.0
20120418,0.13879736585365854,6.112717619047621,42.07237045454546,53.93011363636364,0.29328049787234045,100.82739787234043,55.145438297872346,237.24485744680854,4.691246808510639,55.95312765957448,99.75029148936173,8.517018936170214,0.0,-9999,8.546759574468089,-0.3189582978723404,0.4549592291666667,0.6836593750000001,0.3539205416666666,0.3723401833333335,136.80877446808515,2.63915385106383,0.2286992083333333,4.923007083333334,40.914902083333345,53.972562500000016,96.71583333333336,294.0016250000001,52.88245000000001,232.4522645833334,4.966104166666667,56.43745833333333,99.7605625,8.491416666666666,0.0,-0.3190929166666667,2.648333333333333,41.723270351874774,0.20471944878528134,55.298260984383184,1.0
20120419,0.0143193260869565,25.597529130434786,66.05157446808512,65.31121276595744,0.33942246808510634,242.35225544680856,143.61066382978726,531.2472938297873,5.996137659574468,55.552595744680865,99.44340851063835,11.527660212765955,0.0,-9999,8.578502127659576,-0.3163542553191489,0.6594483770833334,0.7881015625,0.6237198999999999,0.3883904270833333,105.71853617021273,3.0268704255319143,0.1286539375,24.22576125,65.220375,65.06483333333331,241.9068125000001,274.09318750000017,139.54017083333332,520.3279291666668,6.464166666666667,56.06735416666667,99.44533333333332,11.439500000000002,0.0,-0.31654125,3.018375,65.32467416471782,0.03856615702283487,65.382383293008,1.0
20120420,-0.8175265757575759,30.93724550000001,39.47329729729729,76.89109374999998,0.2258556382978724,174.0425670212766,80.50585744680848,344.3140463829788,2.279098297297297,85.82553191489363,99.43873829787232,9.452478936170213,6.660000000000001,-9999,8.621025531914894,-0.3162502127659575,0.8263797916666666,0.6870429374999999,0.5535109354166666,0.3615579583333335,107.97384468085104,2.0336841276595745,-0.13932889583333338,24.57582958333333,38.59425,71.87954166666667,165.70314583333337,299.6696875000001,77.76202708333331,337.2871791666667,1.7312500000000002,85.707875,99.43779166666668,9.416,6.660000000000001,-0.3164214583333333,2.0311041666666667,37.684870104921934,-0.4726304008999647,79.11463373688345,1.0
20120421,-0.7762412887999999,43.925933214285706,85.74489285714284,56.56669230769231,0.21505270425531908,216.5485008510638,111.014129787234,465.5115089361701,5.557436956521739,71.21842553191489,99.8165510638298,11.029075106382976,0.0,-9999,8.779563829787232,-0.3197919148936171,0.8374553435416668,0.7275550833333333,0.6865248479166667,0.4292396625,161.53363829787236,2.006099680851064,-0.10992129625000008,22.518000625000006,63.332520833333334,57.6968125,212.0370625,299.17600000000033,107.62375208333329,455.95905104166667,4.374604166666669,71.39789583333331,99.81335416666668,10.971020833333334,0.0,-0.31986437500000003,1.9853125000000005,63.980688222257434,-0.21757343923674705,65.95489467243713,1.0
20120422,3.15607432,28.437517857142858,24.7304,56.616375,0.14796064130434786,119.04254834042555,29.208210869565214,251.835355106383,4.1517290909090905,84.80142553191489,100.2165086956522,7.546809148936171,19.29,-9999,9.012763829787234,-0.3256248936170213,-1.2721939583333337,0.5846756250000001,0.43081800625,0.34644292291666673,177.58700652173908,1.2461178913043478,1.8568544083333332,14.02810625,27.8884875,64.87095833333333,116.56249999999996,286.2063124999998,28.31986875000001,246.74006479166667,1.6459166666666665,84.69206249999998,100.21035416666668,7.569041666666667,19.29,-0.32557812500000005,1.2674375000000002,29.14018693381961,1.3768560690831952,62.958927502923316,1.0
