TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,VPD_F,RH_F,PA_F,TA_F,P_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20140101,-9999,7.081880000000001,-9999,-9999,0.09847695652173907,0.1390972291666667,0.0,191.82310416666667,193.46729166666668,-1.5049395833333346,0.0969131282763143,78.8238125,100.75520833333331,-31.2666875,0.0,-13.21985416666667,-11.130666666666672,-10.023595833333333,-9.267845833333334,-9.172289583333336,-8.593402916666667,-7.741596875,-9999,0.049696434166666664,0.0004576979166666668,0.00505438975375,192.95919625000008,1.1302989583333332,-9999,6.622547499999999,-9999,-9999,0.13910416666666667,0.0,191.82310416666667,193.46729166666668,-1.5049395833333346,0.09531249999999998,78.8238125,100.75520833333331,-31.2666875,0.0,1.1303125,-0.2075623154691826,0.0638647839118522,5.2025806703361726,3.0
20140102,-9999,11.587,-9999,-9999,0.0982036170212766,0.0,0.0,196.35777083333332,196.900625,-0.5428437500000004,0.09750062020216442,78.80539583333334,101.0613125,-31.171562500000004,0.0,-13.462833333333334,-11.371645833333336,-10.24208333333333,-9.460070833333333,-9.363818750000002,-8.735485833333334,-7.799514166666665,-9999,0.04274632708333333,0.0,0.004230430166666667,159.229875,1.25005125,-9999,5.617100416666666,-9999,-9999,0.0,0.0,196.35777083333332,196.900625,-0.5428437500000004,0.09575,78.80539583333334,101.0613125,-31.171562500000004,0.0,1.250104166666667,-0.2188857216777196,0.05715898077463946,5.3743040834538744,3.0
20140103,-9999,-9999,-9999,-9999,0.07844032608695653,0.0,0.0,206.74327083333336,209.6925,-2.9493645833333337,0.12402619547435505,82.77156249999999,101.41475,-26.289625,0.0,-13.507000000000005,-11.4419375,-10.385958333333333,-9.614720833333333,-9.525558333333334,-8.877499791666667,-7.872777916666666,-9999,0.124627875,0.0,0.015370452083333331,159.10847916666663,0.8672245833333335,-9999,7.371120833333335,-9999,-9999,0.0,0.0,206.74327083333336,209.6925,-2.9493645833333337,0.12237499999999996,82.77156249999999,101.41475,-26.289625,0.0,0.8672083333333337,-0.1159698214629334,0.056593803980657276,6.24013162396706,3.0
20140104,-9999,4.772488333333333,-9999,-9999,0.10630817021276597,0.05951381250000001,0.046180625,200.89666666666668,204.678125,-3.768804375,0.11594216276806105,81.38852083333335,102.1983541666667,-27.86839583333333,0.0,-13.253500000000004,-11.301958333333333,-10.382749999999998,-9.669656250000003,-9.60458541666667,-8.984999999999998,-7.950208125000006,-9999,0.08652833333333336,0.00019612708333333336,0.009612777083333331,227.98998541666668,1.5015258333333337,-9999,6.730673541666667,-9999,-9999,0.0595,0.046180625,200.89666666666668,204.678125,-3.768804375,0.11422916666666673,81.38852083333335,102.1983541666667,-27.86839583333333,0.0,1.5014791666666665,-0.16654949961255544,0.04877150041328366,5.600090064683903,3.0
20140105,-9999,9.7991,-9999,-9999,0.1221825,0.0,0.0,199.47141666666664,202.82999999999996,-3.3586374999999986,0.1096815032658956,80.20481249999997,102.13885416666666,-29.153354166666674,0.0,-13.221958333333333,-11.379958333333335,-10.412083333333333,-9.70514375,-9.635066666666658,-9.049305625,-8.021527708333338,-9999,0.057346520833333324,0.0,0.005066108333333335,217.17986375,2.068486458333333,-9999,8.7857875,-9999,-9999,0.0,0.0,199.47141666666664,202.82999999999996,-3.3586374999999986,0.10804166666666673,80.20481249999997,102.13885416666666,-29.153354166666674,0.0,2.068479166666666,-0.22296662310173,0.042509320572284334,5.477144389758286,3.0
20140106,-9999,13.866520000000001,-9999,-9999,0.11259597727272727,0.086875,0.0,212.71043750000013,210.83854166666663,1.9594118750000007,0.1283248335867365,81.37477083333333,101.6618125,-26.82141666666667,0.0,-13.132875,-11.390604166666668,-10.444020833333337,-9.74027708333333,-9.647504166666657,-9.084791666666662,-8.082083333333337,-9999,0.11195406250000002,0.00028414375000000003,0.014212172916666668,266.64264583333323,1.8851243750000004,-9999,7.481568749999997,-9999,-9999,0.086875,0.0,212.71043750000013,210.83854166666663,1.9594118750000007,0.12664583333333335,81.37477083333333,101.6618125,-26.82141666666667,0.0,1.8851458333333344,-0.13842385805183818,0.03997628764019001,5.316566261990482,3.0
20140107,-9999,4.312722222222222,-9999,-9999,0.15163454545454547,0.0,0.0,215.64441666666664,216.875625,-1.2326998541666665,0.12870000399542586,83.84254166666666,101.56906250000002,-25.157,0.0,-13.104520833333329,-11.304083333333322,-10.439208333333337,-9.757083333333336,-9.65951458333334,-9.104722083333336,-8.130624999999991,-9999,0.16374920833333334,0.0,0.025161272916666668,148.69066666666666,2.4592200000000006,-9999,7.0868749999999965,-9999,-9999,0.0,0.0,215.64441666666664,216.875625,-1.2326998541666665,0.12714583333333332,83.84254166666666,101.56906250000002,-25.157,0.0,2.137166666666666,-0.09014120527802816,0.04037786847182223,5.2221931696343615,3.0
20140108,-9999,3.5551500000000003,-9999,-9999,0.17279389999999997,0.081319375,0.08812500000000001,218.7350416666666,218.568125,0.16041860416666665,0.13412950666218318,83.94937500000002,101.62858333333332,-24.61941666666667,0.0,-13.16033333333334,-11.300583333333336,-10.437104166666666,-9.76305416666666,-9.67653125,-9.125069583333334,-8.169166458333333,-9999,0.17434166666666664,0.0002500916666666667,0.027130458333333333,120.24145000000004,1.9785800000000004,-9999,6.1473,-9999,-9999,0.0813125,0.08812500000000001,218.7350416666666,218.568125,0.16041860416666665,0.13256250000000006,83.94937500000002,101.62858333333332,-24.61941666666667,0.0,1.731375,-0.04920663429134498,0.03663144489716768,5.320808399604517,3.0
20140109,-9999,-9999,-9999,-9999,0.07677493617021276,0.273125,0.22513895833333333,195.55308333333332,196.344375,-0.7434757499999999,0.11103332885864944,80.59558333333331,101.91927083333331,-28.80216666666667,0.0,-13.20735416666666,-11.281770833333333,-10.427791666666673,-9.76187708333333,-9.67944791666667,-9.141805833333322,-8.20506979166667,-9999,0.07282283541666668,0.0008048291666666665,0.008134418124999999,179.50620833333343,1.0594561666666666,-9999,5.168058333333333,-9999,-9999,0.273125,0.22513895833333333,195.55308333333332,196.344375,-0.7434757499999999,0.10937500000000007,80.59558333333331,101.91927083333331,-28.80216666666667,0.0,1.0595,-0.16993590657368046,0.024457993528810645,4.892304642356592,3.0
20140110,-9999,-9999,-9999,-9999,0.07523994736842106,0.38201402083333336,0.3495833333333333,159.10341666666667,164.52895833333332,-5.393122916666665,0.05934352956866206,72.52183333333333,102.35079166666668,-38.765645833333345,0.0,-13.648125000000002,-11.542479166666665,-10.5044375,-9.797220833333332,-9.694722916666667,-9.156527916666676,-8.237500208333335,-9999,0.00015027036041666665,0.0010986458333333332,1.619021884583334e-06,129.51124166666665,1.0001775000000002,-9999,6.532033333333334,-9999,-9999,0.3820208333333333,0.3495833333333333,159.10341666666667,164.52895833333332,-5.393122916666665,0.057750000000000024,72.52183333333333,102.35079166666668,-38.765645833333345,0.0,1.0001874999999998,-0.32822209256754925,0.04161437326707353,3.8727970558308797,3.0
