TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,RH,PA,TA,P,D_SNOW,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,TS_8,G,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,D_SNOW_F,G_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160712,-2.24375925925926,24.432788571428567,95.48832647058822,80.10461538461537,0.17093829268292682,276.9092090812499,59.92459333333333,345.488575,411.99520833333327,13.164916829268293,57.11395833333335,98.22948780487806,18.79608194444445,0.7999999999999999,-9999,18.92402391304348,18.76186521739131,18.64472553191489,18.569229166666666,17.117562500000002,14.699833333333334,11.372437499999995,6.477616666666667,4.923557604166667,-0.16836874999999998,4.358415416666666,3.4360437500000014,3.8732945,2.6742666666666666,0.9238546341463416,-0.922361875,17.432558333333333,71.62616291666666,86.99167145833331,277.38702083333334,59.92459333333333,345.4885833333333,411.99520833333327,11.623333333333335,57.11395833333335,98.20602083333334,18.796125,0.7999999999999999,-9999,4.923557604166667,-0.16836874999999998,0.9453541666666668,72.4836067463985,-0.8582920939689465,83.82253630377402,1.0
20160713,-3.0149674074074078,33.920567741935486,123.9760870967742,76.04639999999998,0.13285200000000005,282.1440320835416,60.97697520833333,342.84126874999987,412.1395833333333,13.756670000000002,54.74200000000001,98.67428888888887,18.77826006944445,0.0,-9999,19.159521276595743,19.07340425531915,18.82915319148936,18.7321625,17.101208333333332,14.695604166666667,11.4255625,6.557704166666666,5.027371249999999,-0.1780620833333333,4.513839583333334,3.48023125,3.841061250000001,2.865183333333334,0.6995162222222221,-1.03360275,18.676122916666667,80.39761291666666,88.90655270833334,282.34489583333334,60.97697520833333,342.84124999999995,412.1395833333333,12.942125000000004,54.74200000000001,98.66893749999998,18.778270833333327,0.0,-9999,5.027371249999999,-0.1780620833333333,0.7038541666666668,81.67360698929514,-0.90363584453292,82.59119470294638,1.0
20160714,-1.4818433333333334,14.544986111111104,116.8622054054054,73.1825925925926,0.1426856521739131,285.8684864441667,63.07377862500001,350.94209583333327,420.98541666666665,16.939152173913044,46.41129166666667,98.68497826086958,21.534555555555553,4.8,-9999,20.281884090909085,19.945572727272726,19.471322727272728,19.371195652173906,17.51775,14.725791666666668,11.490854166666667,6.6143270833333325,6.089205000000001,-0.18325625,4.2637802083333325,3.731966666666666,3.838771160416668,2.8650166666666657,0.9154454347826086,-0.5318115625,9.687316666666662,94.04347229166667,86.33126249999997,286.0544375,63.07377862500001,350.9421041666667,420.98541666666665,16.74125,46.41129166666667,98.68091666666668,21.534541666666666,4.8,-9999,6.089205000000001,-0.18325625,0.9235416666666666,94.8886517045666,-0.4630699041350971,80.48648362864759,1.0
20160715,-2.751974074074074,12.420815384615386,117.96689166666668,95.91851851851851,0.15418041666666665,268.6697622666667,59.28370749999999,356.95528541666664,423.7352083333333,17.268712500000003,44.95310416666667,98.264625,22.204340277777767,0.0,-9999,21.388958333333328,21.05888958333333,20.34412765957447,20.023000000000007,18.0243125,14.967166666666666,11.591270833333333,6.725585416666667,6.108133125000001,-0.18146979166666669,4.513548770833334,3.830831250000001,3.9414174166666656,2.986895833333333,0.9832393749999998,-0.6827104166666667,7.2914125,88.96731745833334,100.428168125,269.2018541666667,59.28370749999999,356.9553125000001,423.7352083333333,17.220250000000004,44.95310416666667,98.264625,22.2043125,0.0,-9999,6.108133125000001,-0.18146979166666669,0.98325,89.76790493449651,-0.7745082561283194,94.57205043426676,1.0
20160716,-1.7752130303030302,15.040409756097565,92.60682619047618,99.8634375,0.15891333333333335,247.22696537291668,52.81443958333333,361.131225,418.8002083333333,13.348320833333332,54.41652083333332,98.22993749999996,20.87563888888889,0.0,-9999,20.584,20.508000000000006,20.037541666666666,19.6661875,17.851937500000005,15.077791666666664,11.665979166666665,6.8158499999999975,5.4912412500000025,-0.19091,4.443573750000001,3.7831270833333335,4.068015916666665,3.31531875,0.9548847916666664,-0.6604454166666669,10.64535,81.56393979166666,100.780436875,247.40175,52.81443958333333,361.13122916666674,418.8002083333333,13.2978125,54.41652083333332,98.22993749999996,20.875666666666667,0.0,-9999,5.4912412500000025,-0.19091,0.954875,82.02903644227794,-0.6900381571236295,98.71618164469672,1.0
20160717,-3.0528532352941182,0.9816102564102565,150.76726794871797,117.26,0.22220604166666671,281.80284688333336,63.48822354166666,359.7419083333333,421.6414583333333,18.73181666666667,44.165791666666664,97.90158333333339,23.26272916666667,0.0,-9999,21.627385416666673,21.331920833333328,20.461208333333328,19.939041666666668,17.849145833333328,15.083083333333335,11.719979166666667,6.840712500000001,5.395371875,-0.19881270833333345,5.4358708333333325,3.9877104166666655,4.771002208333332,3.676908333333333,1.7933008333333331,-1.4481335416666672,-1.5498375,122.75457041666668,113.58094625,281.96647916666666,63.48822354166666,359.7418958333333,421.6414583333333,18.716791666666666,44.165791666666664,97.90158333333339,23.26277083333333,0.0,-9999,5.395371875,-0.19881270833333345,1.7933125,123.31737574916956,-1.4606613143642877,111.22415960037242,1.0
20160718,-1.1137457142857146,10.052857446808515,57.5371951219512,109.46425,0.20175145833333333,192.65341605312503,40.16522874999999,369.28509375,418.39687500000014,9.69088125,61.59133333333333,97.459375,19.984479166666667,0.0,-9999,20.463583333333336,20.477749999999997,20.16445833333333,19.805541666666667,17.863458333333334,15.158583333333333,11.798833333333333,6.925885416666667,5.366383645833333,-0.20513395833333334,4.342453124999999,3.552039583333333,3.79910333125,3.0190333333333323,1.3367754166666668,-0.7904075416666668,9.23794375,52.38606895833332,107.97854458333332,192.98477083333339,40.16522874999999,369.28508333333326,418.39687500000014,9.6466875,61.59133333333333,97.459375,19.984458333333333,0.0,-9999,5.366383645833333,-0.20513395833333334,1.336854166666667,52.66566621315587,-0.7495402208249563,108.06512821666243,1.0
20160719,-1.6215894736842105,14.438912903225805,43.17957266666666,113.28666666666665,0.2459440625,97.55295867374998,21.380321666666664,368.6203604166667,392.155,3.744446875000001,81.08522916666666,97.34115625,14.717538194444444,3.3000000000000003,-9999,15.212554166666665,15.3344,15.765083333333335,16.061104166666667,16.687000000000005,15.276499999999993,11.926083333333333,7.0862333333333325,1.39286125,-0.205215625,2.921213791666668,2.926945833333333,2.6147744729166664,2.2675666666666667,1.6995396875000004,0.005742708333333291,7.752714583333333,32.609503749999995,103.943135,97.84422916666664,21.380321666666664,368.6203333333333,392.155,3.2120416666666665,81.08522916666666,97.3375416666667,14.717562499999998,3.3000000000000003,-9999,1.39286125,-0.205215625,1.5908125000000004,31.076338523689817,-0.2893860909953813,99.27550908228386,1.0
20160720,-3.8842,47.16491,102.99252631578949,87.93714285714287,0.215222,187.78399706875004,41.46836875,347.76614999999987,386.0762499999999,7.257690000000001,79.52608333333336,97.25515,12.65350277777778,2.3000000000000003,-9999,13.579960869565218,13.620908695652174,13.920743478260873,14.574372916666665,15.318583333333333,14.926583333333333,11.981916666666667,7.158354166666666,-0.08808854166666663,-0.19887416666666669,2.722339375,2.5440145833333334,3.17062825,1.8167479166666665,1.318866,-0.17832312500000022,20.81226041666666,50.37313729166666,96.29315083333331,188.09710416666655,41.46836875,347.7662291666666,386.0762499999999,3.7267083333333337,79.52608333333336,97.32281249999996,12.653520833333333,2.3000000000000003,-9999,-0.08808854166666663,-0.19887416666666669,1.0966874999999996,47.732253330501706,-0.8536124860197933,91.78685720164304,1.0
20160721,-2.2249729411764707,55.97840263157895,99.58840769230773,77.75000000000001,0.21278256410256416,294.1239146952082,64.35093958333331,310.8910979166667,380.24250000000006,7.0549333333333335,60.18081249999998,97.87566666666667,10.811182291666665,1.1,-9999,13.876245833333336,13.980710416666668,14.126825000000006,14.253525000000002,14.6488125,14.59791666666667,12.03739583333333,7.274914583333333,-0.10885416666666664,-0.198773125,3.2669954166666666,2.390535416666667,3.2048718291666667,1.4540520833333332,1.636841538461539,-0.8764620833333335,42.07341875,81.51637500000002,88.92058895833333,294.48579166666667,64.35093958333331,310.8911875,380.24250000000006,5.985770833333333,60.18081249999998,97.83033333333334,10.81116666666667,1.1,-9999,-0.10885416666666664,-0.198773125,1.7193124999999998,80.56904647461992,-1.0800582929434377,81.46555843845887,1.0
