TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,D_SNOW,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,G,WTD,SWC_1,SWC_2,SWC_3,SWC_4,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,D_SNOW_F,G_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20181009,0.6643399999999999,-10.261041304347826,1.7093673913043477,14.319148936170215,0.3469083333333332,14.913519541666664,0.5182604791666666,360.7757083333333,362.6697916666667,33.94715999999998,1.8946199999999989,0.17457446084320213,98.56385416666666,98.58053333333334,9.589020208333332,3.62,-9999,6.459010416666667,6.452022916666667,6.98393,7.925481875,9.156108333333334,9.942550000000002,2.6943679375,0.12934229166666664,61.15902083333333,85.58058333333331,-9999,-9999,0.17696877291666666,0.8048945625000002,0.1846180583333333,0.7535747916666665,217.8689583333333,3.7459958333333336,0.6279254166666667,-10.056060416666668,1.50583125,14.359166666666667,15.621562500000005,0.5182604791666666,360.7757083333333,362.6697916666667,33.947026666666666,1.8946199999999989,0.17479166666666665,98.56385416666666,98.5805625,9.5890625,3.62,-9999,2.6943679375,0.12934229166666664,3.746083333333333,1.6323289139563164,0.6237552706857051,14.444467290095535,1.0
20181010,0.3598900000000001,7.308919444444442,23.83741562499999,15.180555555555555,0.2779829787234042,83.51403208333333,15.201572041666667,315.33145833333344,358.0816666666667,173.78804375000004,14.351637500000002,1.6451402764440357,87.56285416666668,99.38832083333332,9.246737916666666,0.09,-9999,7.8379,7.520393750000001,7.608445624999999,8.049636041666666,9.00643125,9.864875,2.3980172083333318,0.12421208333333335,65.97637500000003,85.64677083333333,-9999,-9999,0.4525360041666666,0.8153357645833336,0.500286125,0.7859697916666667,256.36356249999994,2.9686375,0.36279770833333336,-1.3742895833333362,17.364512499999993,14.914520833333333,84.80929166666667,15.201572041666667,315.33145833333344,358.0816666666667,173.78821479166675,14.351637500000002,1.6468333333333334,87.56285416666668,99.3883125,9.2468125,0.09,-9999,2.3980172083333318,0.12421208333333335,2.968604166666668,18.448610668457967,0.33662252198957315,16.28585897179821,1.0
20181011,0.5916555555555556,-4.663377777777779,2.0585375,15.834375,0.1659581395348837,22.625770604166664,2.9320041666666667,328.4395000000001,342.45104166666675,51.89084729166664,3.2589524999999986,0.06745402984972207,99.40266666666665,100.74333333333333,6.236169104166668,0.29,-9999,6.5819270833333325,7.510335416666668,7.738775833333335,8.255064166666665,8.947343749999998,9.783395833333332,-3.2226993333333342,0.126643125,65.86037499999998,85.46116666666667,-9999,-9999,0.1890083104166668,0.7575484770833333,0.3331563333333333,0.7533625,190.3961666666667,1.6845020833333333,0.5685389583333333,-8.233157708333332,0.14200437499999988,12.064479166666665,24.0188125,2.9320041666666667,328.4395000000001,342.45104166666675,51.89120666666667,3.2589524999999986,0.067625,99.40266666666665,100.74333333333333,6.236208333333333,0.29,-9999,-3.2226993333333342,0.126643125,1.6844583333333334,0.8841545563958606,0.5633402115739635,17.4002379035634,1.0
20181012,0.3938324999999999,-1.0114119047619057,11.36380789473684,17.138095238095232,0.2631869565217391,70.73214618750005,11.863682708333334,332.50458333333324,366.75416666666666,149.38560604166668,12.499029166666665,1.3027454430106762,91.32225,100.51154166666664,10.495921875,0.0,-9999,7.79145,7.745320833333332,7.749239375000001,8.228149791666667,8.920466666666664,9.7042125,2.616742083333334,0.12331124999999997,67.17387500000002,85.77483333333333,-9999,-9999,0.4929578583333334,0.8451618312499999,0.5146677708333335,0.9357443750000002,198.46217391304344,2.7258978260869573,0.3522037499999999,-1.5282125000000004,10.374414583333332,17.0815,72.18160416666667,11.863682708333334,332.50458333333324,366.75416666666666,149.385776875,12.499029166666665,1.3040416666666663,91.32225,100.51154166666664,10.4959375,0.0,-9999,2.616742083333334,0.12331124999999997,2.7218958333333334,11.318472905446832,0.3250495551788037,17.38832683069726,1.0
20181013,0.4347209302325581,-6.96624090909091,2.85888,-9999,0.2478458333333333,30.779578,2.9573059583333325,346.28987499999994,369.90625,67.23585916666666,4.560713333333333,0.7720914815783426,94.75275,100.05791875,11.315846250000002,0.0,-9999,8.351566666666669,8.420452083333334,8.166708125000001,8.398908958333337,8.891985416666666,9.624047916666667,2.672036875,0.12361875,67.67445833333333,85.88143750000002,-9999,-9999,0.39704990625,0.8526628604166668,0.3716543854166667,0.8829412500000001,210.98125,2.6656270833333333,0.4556141666666667,-8.071416666666666,2.465674999999999,15.862749999999993,32.01414583333334,2.9573059583333325,346.28987499999994,369.90625,67.23590708333334,4.560713333333333,0.7728541666666667,94.75275,100.05795833333336,11.315875,0.0,-9999,2.672036875,0.12361875,2.6656250000000004,3.00008788507666,0.4526344518709187,19.39666500277611,1.0
20181014,0.4598761904761906,-23.31356304347826,15.837526666666662,-9999,0.274875,76.70688483333333,14.080571041666666,312.730875,375.2545833333332,162.88348458333334,14.856960416666661,3.5706722960631248,79.97485416666667,99.84789375,13.775602083333338,0.0,-9999,8.7828625,8.84259791666667,8.499842499999996,8.622731875000001,8.905887500000002,9.5486375,2.4389794583333324,0.12459895833333336,67.12025,85.71935416666666,-9999,-9999,0.4774110698541666,0.8932724354166665,0.4843996666666666,0.8774514583333333,210.94833333333332,2.9579624999999994,0.4158627708333334,-23.34412291666667,14.864639583333327,16.6783125,79.08722916666666,14.080571041666666,312.730875,375.2545833333332,162.88385312500003,14.856960416666661,3.5743750000000003,79.97485416666667,99.84781250000002,13.775666666666668,0.0,-9999,2.4389794583333324,0.12459895833333336,2.957979166666666,15.4161795046155,0.395099351096627,18.712045102963934,1.0
20181015,0.3436214285714286,-21.59707272727273,8.660818181818186,-9999,0.30158,69.0377006875,12.64368125,304.4115833333332,369.07333333333327,145.441586875,12.898652083333333,2.470007562809286,84.11116666666666,99.4533,12.35433541666667,0.0,-9999,8.727508333333338,8.888193750000003,8.717316249999996,8.826620833333337,8.952208333333333,9.484381249999998,1.1085166875,0.12601520833333332,65.70666666666669,85.29397916666666,-9999,-9999,0.4795710895833334,0.8545301770833332,0.4160618750000001,0.7560939583333335,201.29422222222226,3.2610377777777786,0.3749620833333333,-21.668441666666666,7.6717229166666705,16.737687499999993,71.56724999999999,12.64368125,304.4115833333332,369.07333333333327,145.44139166666668,12.898652083333333,2.4726041666666667,84.11116666666666,99.45329166666666,12.35429166666667,0.0,-9999,1.1085166875,0.12601520833333332,3.281375,8.416362092171436,0.36736315194094776,18.37779549796224,1.0
20181016,0.4615896551724139,-0.6050241379310377,4.1541096774193536,-9999,0.18560909090909086,22.21809018750001,3.405951250000001,317.8420000000001,347.7964583333333,49.92212458333334,3.1478833333333323,0.3758305278889685,96.73218749999994,99.60888333333332,6.958318958333333,0.09,-9999,8.520514583333334,8.849131250000003,8.781174583333334,8.936720208333334,9.007983333333334,9.425843749999997,-0.9154195833333336,0.12693645833333336,66.99018749999999,85.47229166666666,-9999,-9999,0.24709566458333326,0.7313099125,0.1905576875,0.5731718750000001,233.47204166666677,1.5742041666666668,0.4842153958333333,-7.858241666666669,2.5096812499999994,13.636104166666668,23.76879166666667,3.405951250000001,317.8420000000001,347.7964583333333,49.92197375000001,3.1478833333333323,0.37625000000000025,96.73218749999994,99.60891666666664,6.95839583333333,0.09,-9999,-0.9154195833333336,0.12693645833333336,1.5742708333333335,2.574728112079377,0.4664165020356192,19.22556049556057,1.0
20181017,0.5956461538461539,-5.703335483870967,2.6783407407407407,-9999,0.2125042553191489,14.793041625000004,0.9832472916666664,346.3664791666667,348.9995833333333,33.556176875,1.942215833333332,0.17198242673866485,98.75391666666664,99.68940833333336,6.99443367291667,0.18000000000000002,-9999,7.403716666666665,8.074345833333332,8.501238333333337,8.911871249999997,9.052829166666664,9.372870833333335,-2.903516458333335,0.12767104166666668,67.66710416666666,85.59410416666667,-9999,-9999,0.16473258333333332,0.72274626875,0.12692854875000004,0.536265,153.50360416666663,2.3159291666666664,0.5580151666666667,-10.657654166666664,1.2344737499999998,14.433027083333327,15.519520833333333,0.9832472916666664,346.3664791666667,348.9995833333333,33.556040624999994,1.942215833333332,0.17218750000000002,98.75391666666664,99.68937499999996,6.994458333333334,0.18000000000000002,-9999,-2.903516458333335,0.12767104166666668,2.3159791666666667,1.158829748294645,0.5364995429859848,18.90949557404475,1.0
20181018,0.707121739130435,-14.670363157894736,0.3902888888888894,-9999,0.2613208333333334,10.58649395833333,0.7324604375,337.46964583333335,359.25520833333326,26.40063229166667,1.5565312499999988,0.3242306951853478,96.92083333333332,99.1946645833333,9.316845,5.02,-9999,8.517364583333334,8.614937500000002,8.488404583333335,8.800916875,9.055295833333334,9.328983333333337,1.65465,0.12055666666666667,69.13239583333333,85.69464583333334,-9999,-9999,0.05766769791666668,0.7649001104166668,0.093073525,0.5513352083333335,244.04229166666667,2.8035770833333333,0.7072320833333334,-13.993812500000002,0.23488125000000035,17.00077083333334,11.838791666666665,0.7324604375,337.46964583333335,359.25520833333326,26.40063229166667,1.5565312499999988,0.3245000000000001,96.92083333333332,99.19466666666663,9.316833333333333,5.02,-9999,1.65465,0.12055666666666667,2.8036250000000007,0.4435690211881169,0.7059670962263104,18.105149365711227,1.0
