TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,D_SNOW,TS_1,TS_2,G_1,G_2,SWC_1,SWC_2,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,D_SNOW_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160209,0.530305,-22.755884,-6.747646666666666,-9999,0.09317875000000002,7.262,7.990145833333334,-9999,-9999,-27.295,13.145868521875006,20.681991316666668,0.3954216666666667,83.37395833333336,90.80625000000002,-12.409791666666667,0.0,30.88333333333333,-7.852020833333333,-8.198958333333332,-4.700625,-3.5047812500000006,-9999,-9999,-0.17726743750000004,0.4423706104166668,0.006807647916666665,0.4025581250000001,149.6270833333334,1.2357291666666663,0.6196389583333333,-27.11956458333333,-2.7314273125,-9999,14.183770833333332,7.990145833333334,167.98754166666663,-28.84633333333333,21.428666514583327,20.681991316666668,0.3954375000000001,83.37395833333336,90.80625000000002,-12.409791666666667,0.0,30.88333333333333,1.2357291666666663,-2.845304275210541,0.6431427272269457,-3.927961044354687,3.0
20160210,1.616596666666667,-32.50618333333333,-8.673475,-9999,0.12236142857142858,0.0,13.481166666666672,-9999,-9999,-20.712,0.052103333333333335,29.83369072291667,0.2518239583333333,84.33791666666666,90.65,-17.146874999999998,0.0,31.84374999999999,-7.838437500000001,-8.176499999999997,-5.0673125,-3.732135416666667,-9999,-9999,-0.3139464583333333,0.2839877166666667,0.006334208333333334,0.224009375,130.55958333333328,0.9730833333333334,0.5979350000000002,-36.98993958333333,-3.1513255208333333,-9999,13.202041666666668,13.481166666666672,179.7862083333334,-24.602533333333334,19.09957791666667,29.83369072291667,0.251875,84.33791666666666,90.65,-17.146874999999998,0.0,31.84374999999999,0.9730833333333334,-1.0360166795750152,0.7408297801734487,-4.491544479626029,3.0
20160211,-9999,-9999,-9999,-9999,-9999,14.270352941176471,13.020770833333332,-9999,-9999,3.2764705882352945,22.68212836470588,31.48499195416668,0.1883570833333333,80.7022916666667,89.76874999999997,-22.65708333333333,0.0,33.65000000000001,-8.025229166666668,-8.346916666666665,-5.403791666666666,-3.9609375,-9999,-9999,-0.11878329166666668,0.13805556875000002,0.003791104583333333,0.06916627083333335,136.25874999999996,0.3044375,0.25683916666666645,-31.709812499999995,-0.5576494583333337,-9999,7.884395833333333,13.020770833333332,231.79797916666664,-14.2654375,13.29985650416667,31.48499195416668,0.18835416666666668,80.7022916666667,89.76874999999997,-22.65708333333333,0.0,33.65000000000001,0.3044375,-0.6945185275625493,0.746608764462394,-4.161638705524494,3.0
20160212,0.4201022857142857,-35.52260270270269,-0.7840078947368422,-9999,0.18679418604651166,21.366461538461547,14.782312499999998,-9999,-9999,-43.48,41.78347382051282,33.848324085416664,1.0725702083333333,73.05812500000002,89.17291666666661,-6.7730833333333305,0.0,32.325,-7.937479166666669,-8.263729166666664,-4.993427083333333,-3.728020833333332,-9999,-9999,-0.07289385416666667,0.3726911375000001,0.008319867916666666,0.8097847916666671,131.20833333333337,4.840708333333335,0.4455831249999999,-34.37656874999999,-0.6594060416666668,-9999,17.360250000000004,14.782312499999998,221.93787500000008,-43.70979166666667,34.42333477083333,33.848324085416664,1.0725625,73.05812500000002,89.17291666666661,-6.7730833333333305,0.0,32.325,4.840708333333335,-0.4407008821348471,0.4868708882884801,-7.291294426979463,3.0
20160213,0.2600763636363636,-23.16773947368421,-0.6772559999999999,-9999,0.15929020833333335,19.1378125,15.710104166666666,-9999,-9999,-34.42062500000001,40.02094139583335,38.80341628333333,1.3117875,67.02041666666668,88.8604166666667,-5.7414791666666645,0.0,32.68333333333334,-7.455041666666666,-7.877249999999999,-2.771302083333334,-2.1077604166666664,-9999,-9999,0.03877129166666665,0.3186617083333333,0.00912364875,0.8726439583333331,132.21458333333337,3.7585833333333336,0.27988875,-22.887377083333345,-0.7090025000000001,-9999,19.1378125,15.710104166666666,211.31662499999996,-34.42062500000001,40.02094139583335,38.80341628333333,1.3117291666666668,67.02041666666668,88.8604166666667,-5.7414791666666645,0.0,32.68333333333334,3.7585833333333336,-0.024027187412491102,0.3503878890086635,-6.4521717074726785,3.0
20160214,0.37768230769230776,-13.405111515151516,-2.274720789473683,-9999,0.10384187499999996,17.535500000000006,14.676416666666665,-9999,-9999,-13.216708333333335,36.58276414583333,35.94477958125,1.0009414583333334,74.08020833333337,89.11249999999994,-6.297312500000001,0.0,32.752083333333324,-7.055895833333332,-7.487479166666668,-2.1603854166666667,-1.6239583333333334,-9999,-9999,0.002748032500000002,0.3488502999999999,0.008403064500000001,0.8440414583333334,139.75062500000007,1.481458333333333,0.34610250000000004,-15.830034999999995,-1.9746189583333325,-9999,17.535500000000006,14.676416666666665,225.46162500000025,-13.216708333333335,36.58276414583333,35.94477958125,1.0009374999999998,74.08020833333337,89.11249999999994,-6.297312500000001,0.0,32.752083333333324,1.481458333333333,-1.1116993698419753,0.5021595219280174,-6.2629019087382165,3.0
20160215,0.16376916666666666,0.3754515151515148,0.5429094594594596,-9999,0.1250085416666667,13.268625000000002,11.715624999999996,-9999,-9999,-3.932062499999999,31.578754412499997,30.5841292125,0.5707997916666667,82.12666666666667,89.60416666666664,-9.1970625,0.0,33.02499999999999,-6.875208333333332,-7.265479166666665,-2.189385416666666,-1.6266458333333331,-9999,-9999,0.05794210729166665,0.3953238083333333,0.006380863395833335,0.6496125,184.36291666666676,1.0188333333333337,0.33738125,-6.328647916666667,0.4886587083333334,-9999,13.268625000000002,11.715624999999996,250.0286458333332,-3.932062499999999,31.578754412499997,30.5841292125,0.5707499999999999,82.12666666666667,89.60416666666664,-9.1970625,0.0,33.02499999999999,1.0188333333333337,0.8344587648886846,0.4739109916241782,-5.164016932198226,3.0
20160216,0.05950500000000002,-13.229808108108108,-0.2718435897435895,-9999,0.1613502272727273,22.718217391304353,22.89102083333333,-9999,-9999,-19.067021739130443,47.12792592608698,53.94830212708334,0.4124372916666666,83.02104166666666,90.05624999999995,-11.958958333333335,0.0,32.72083333333334,-6.756708333333332,-7.110854166666663,-2.1173124999999997,-1.5664062500000009,-9999,-9999,0.1585746875,0.4205361875,0.010414458805833334,0.4753579166666668,148.16666666666666,2.3560000000000008,0.2619600000000001,-17.44591458333333,0.6281166666666665,-9999,21.771625000000004,22.89102083333333,198.9525833333333,-20.013645833333328,45.268162345833346,53.94830212708334,0.4124583333333336,83.02104166666666,90.05624999999995,-11.958958333333335,0.0,32.72083333333334,2.3560000000000008,-0.2334531326395379,0.32721294137188417,-5.001031009886868,3.0
20160217,0.5650907499999999,-43.93939024390245,3.1744078571428567,-9999,0.18641166666666675,32.21197916666667,26.242562500000005,-9999,-9999,-62.42999999999999,58.17124290833334,60.01632247083334,0.908382083333333,54.62687500000001,89.25416666666668,-14.205208333333333,0.0,33.63333333333333,-6.769958333333333,-7.048374999999999,-2.8846666666666665,-2.0872187500000003,-9999,-9999,-0.14265157291666666,0.4332012000000001,0.015327846666666662,0.3573783333333333,123.73125,4.902791666666666,0.5758502083333333,-42.80733333333336,3.356419375,-9999,32.21197916666667,26.242562500000005,156.06687499999995,-62.42999999999999,58.17124290833334,60.01632247083334,0.9083749999999998,54.62687500000001,89.25416666666668,-14.205208333333333,0.0,33.63333333333333,4.902791666666666,2.8272547609484096,0.5889776165301402,-6.098620877457487,3.0
20160218,0.6573735135135136,-42.64825,2.9814281249999994,-9999,0.13630541666666668,34.69866666666667,27.79354166666667,-9999,-9999,-66.12291666666668,62.02642018749999,63.26890989583334,1.1009624999999998,35.38229166666665,88.93749999999999,-16.331875,0.0,32.92916666666668,-7.0635416666666675,-7.2206666666666655,-4.282020833333333,-3.061958333333333,-9999,-9999,-0.25365675,0.4325405208333333,0.016496116666666668,0.26078,115.62708333333332,4.643645833333333,0.6861995833333334,-42.69010416666668,2.9814281249999994,-9999,34.69866666666667,27.79354166666667,144.66808333333327,-66.12291666666668,62.02642018749999,63.26890989583334,1.1010625,35.38229166666665,88.93749999999999,-16.331875,0.0,32.92916666666668,4.643645833333333,2.9814281249999994,0.6600067581652421,-5.3228894803776265,3.0
