TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,TS_8,WTD,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20180101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0055993957446807,0.6589284468085105,-9999,-9999,-9999,-9999,-9999,-9999,116.5333191489362,307.14385106382997,-9999,-9999,2.34472340425532,-9999,102.1647659574468,12.674936170212765,0.21899999999999997,-9999,2.245297872340425,-29.037617331916586,-0.41084278749883146,0.8874250398788494,3.0
20180102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8745968654166668,0.6874043333333333,-9999,-9999,-9999,-9999,-9999,-9999,93.52572916666668,310.3686249999999,-9999,-9999,3.054625,-9999,102.02697916666664,13.322416666666662,0.0,-9999,2.0188333333333333,-26.299882005872025,-0.2983797476789205,1.2261646090156308,3.0
20180103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.654042543125,0.6882069999999998,-9999,-9999,-9999,-9999,-9999,-9999,62.57593750000001,320.0296250000003,-9999,-9999,3.4905833333333334,-9999,101.6460625,13.339166666666669,0.541,-9999,3.5776875,-27.615512788159148,-0.2349211639901676,0.6712907028173422,3.0
20180104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.7369485508333332,0.7289446666666667,-9999,-9999,-9999,-9999,-9999,-9999,73.39147916666666,353.415125,-9999,-9999,2.498770833333333,-9999,101.81147916666664,14.268750000000002,4.155,-9999,4.188729166666667,-22.71721456612635,-0.2592765113338836,0.4602237445099642,3.0
20180105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.239889955625,0.7317463541666664,-9999,-9999,-9999,-9999,-9999,-9999,18.48133333333333,376.2107500000001,-9999,-9999,1.8568125,-9999,102.17668749999996,14.339249999999995,5.732,-9999,2.8659375,-33.400828286441154,-0.12246927486427715,1.076219619013009,3.0
20180106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.9297317670833336,0.6702541041666666,-9999,-9999,-9999,-9999,-9999,-9999,103.24495833333334,312.10906249999994,-9999,-9999,2.200729166666666,-9999,102.20131249999996,12.964437500000004,4.24,-9999,3.075229166666667,-24.87727113849352,-0.3756966843351565,0.7243232234130409,3.0
20180107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.908694755625,0.6686244375,-9999,-9999,-9999,-9999,-9999,-9999,99.03452083333332,299.2135,-9999,-9999,2.4077916666666668,-9999,101.89379166666664,12.913166666666667,0.01900000000000001,-9999,1.479,-23.308365722164144,-0.35483136695131706,1.7791729312647129,3.0
20180108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.064373036875,0.6822992916666667,-9999,-9999,-9999,-9999,-9999,-9999,4.544208333333334,361.93843749999985,-9999,-9999,1.9619791666666675,-9999,100.82331250000004,13.23777083333333,50.09400000000001,-9999,5.702729166666668,-38.147395443243475,-0.09666927544464206,0.2584144004676905,3.0
20180109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.15700435270833335,0.7082759375000002,-9999,-9999,-9999,-9999,-9999,-9999,11.64164583333333,361.31618750000007,-9999,-9999,1.9122916666666667,-9999,100.39387499999997,13.821229166666667,32.25299999999999,-9999,5.670541666666668,-32.28015208523759,-0.11621036545300036,-0.6227663763571591,3.0
20180110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.36744046354166665,0.6553552291666668,-9999,-9999,-9999,-9999,-9999,-9999,29.400604166666664,326.0537500000001,-9999,-9999,2.1437500000000003,-9999,101.97725,12.625583333333333,0.4970000000000001,-9999,3.281895833333333,-33.48301344074729,-0.2473474532224837,0.7514908517031899,3.0
