TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,VPD,RH,PA,TA,P,TS_1,TS_3,TS_4,TS_5,G,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20121122,-0.08649833333333336,8.301071199999999,4.978098214285715,-11.75,0.1038600710526316,22.86145833333333,1.2831479166666666,320.04858333333334,327.6064583333333,14.015110208333338,0.8308307571578947,97.50168750000002,95.44627916666668,2.634375,0.0,-9999,-9999,-9999,-9999,-3.3618187500000007,-0.08108333333333333,0.5402851833333333,0.5610671458333334,0.5600662499999999,0.2799007335416667,174.88570421052628,0.6559050789473687,0.020786458333333358,5.874338124999999,3.588803125,7.735705625000005,22.86145833333333,1.2831479166666666,320.04858333333334,327.6064583333333,14.015110208333338,0.2009375,97.50168750000002,95.4462916666667,2.634375,0.4779999999999999,-3.3618187500000007,-0.08108333333333333,0.6368541666666668,3.8558575100297214,0.033713058901045284,7.415343494256087,1.0
20121123,-0.6240729090909091,8.3354745625,5.7814840000000025,-0.10174999999999994,0.15205143636363633,30.204375,1.552179854166667,319.6812708333333,332.7741666666665,15.56530625,0.557784259675,98.02979166666664,95.26427499999998,3.5395833333333337,0.0,-9999,-9999,-9999,-9999,-1.7451589583333331,-0.07979166666666668,0.8681853125000002,0.5638446874999999,0.8282031249999999,0.6572789052083333,153.08479090909088,0.7613763863636364,-0.304340125,5.1791397083333335,4.297047070833334,5.376669166666669,30.204375,1.552179854166667,319.6812708333333,332.7741666666665,15.56530625,0.1592083333333333,98.02979166666664,95.26433333333333,3.5395833333333337,0.002,-1.7451589583333331,-0.07979166666666668,0.7702499999999999,4.826135560201606,-0.3052660871082805,5.523094436986127,1.0
20121124,-1.5090156551724143,10.803185294117648,15.336235000000006,3.68175,0.08991224375000002,55.62166666666667,4.292588895833334,295.8854166666667,327.66020833333334,19.55495625,1.3851798765145835,92.7440625,95.09797708333336,3.3212499999999987,0.0,-9999,-9999,-9999,-9999,-2.586591666666666,-0.08079166666666666,1.5558211249999996,0.6033555833333332,1.2717713749999997,0.8370615674999997,127.30379166666664,0.7213101874999999,-0.952465916666667,8.60149625,10.304085208333333,5.874629583333335,55.62166666666667,4.292588895833334,295.8854166666667,327.66020833333334,19.55495625,0.7899374999999998,92.7440625,95.0979375,3.3212499999999987,0.0,-2.586591666666666,-0.08079166666666666,0.7212916666666663,11.120328371815306,-0.8411964776094009,7.467862106908207,1.0
20121125,-0.07575715624999985,11.994398529411766,16.48202222222222,15.084000000000001,0.15781226666666667,80.50979166666667,7.860616666666667,294.07504166666666,340.52229166666666,26.206637500000006,3.3744537364500005,80.61710416666666,94.86958749999998,6.843541666666664,0.0,-9999,-9999,-9999,-9999,-2.75535625,-0.08295833333333334,0.9789257916666666,0.8186112708333333,1.3957922916666667,1.318600123333333,142.22662083333333,1.2180205916666669,-0.16031810416666656,9.549629999999997,12.690821249999996,8.847133125000003,80.50979166666667,7.860616666666667,294.07504166666666,340.52229166666666,26.206637500000006,2.8062500000000012,80.61710416666666,94.8695625,6.843541666666664,0.0,-2.75535625,-0.08295833333333334,1.2180208333333338,13.234164323345814,-0.09590855694781954,9.756758852953839,1.0
20121126,0.02356944444444453,7.812102777777778,9.088300428571428,35.85500000000001,0.07582769583333332,52.14125000000001,4.355358958333333,307.13191666666665,336.49583333333334,18.416099229166655,0.8030993838624999,90.23908333333333,94.22928125000004,5.656458333333332,0.0,-9999,-9999,-9999,-9999,-2.166984166666667,-0.08389583333333334,1.071251854166667,0.8680728125,1.115226875,0.9930861358333336,146.00871249999997,0.5855074666666666,-0.20317666666666656,6.757525416666666,8.115506375,9.836482249999994,52.14125000000001,4.355358958333333,307.13191666666665,336.49583333333334,18.416099229166655,1.1271458333333333,90.23908333333333,94.22933333333329,5.656458333333332,0.7620000000000001,-2.166984166666667,-0.08389583333333334,1.3552291666666665,10.071405047601116,-0.11627546599998867,7.88140962229668,1.0
20121127,-9999,-9999,-9999,-9999,-9999,17.591875,0.7180756875,336.13747916666665,342.06958333333336,10.940256249999996,-9999,93.51504166666668,93.70961875,5.799791666666665,0.0,-9999,-9999,-9999,-9999,-1.703237916666667,-0.08810416666666669,0.7923977083333336,0.9794609375000002,0.5456308166666667,0.957354233125,-9999,-9999,0.18706291666666675,2.595843125,3.214400625,17.690713958333344,17.591875,0.7180756875,336.13747916666665,342.06958333333336,10.940256249999996,0.6320624999999999,93.51504166666668,93.70964583333333,5.799791666666665,0.114,-1.703237916666667,-0.08810416666666669,1.356625,5.0119634119139285,0.2351151739590856,6.2605649208802925,1.0
20121128,-9999,-9999,-9999,-9999,-9999,6.375833333333333,0.09722145833333333,333.9215625,338.13145833333334,2.069003958333334,-9999,97.48041666666666,93.02964583333332,4.599166666666668,0.0,-9999,-9999,-9999,-9999,-0.8558352083333335,-0.08787500000000004,0.5973704166666665,1.018714,0.25591929166666666,0.7959997802083335,-9999,-9999,0.4213433333333333,-0.2674433958333333,1.4384893749999996,6.964128125000002,6.375833333333333,0.09722145833333333,333.9215625,338.13145833333334,2.069003958333334,0.2146041666666666,97.48041666666666,93.029625,4.599166666666668,3.0090000000000003,-0.8558352083333335,-0.08787500000000004,0.9231666666666668,2.490909494905958,0.3800005868048839,6.0056190716268665,1.0
20121129,-9999,-9999,-9999,-9999,-9999,8.935833333333333,0.20893797916666668,316.7527083333333,318.7725,6.706216041666669,-9999,96.46952083333332,92.50555,0.8029166666666664,0.0,-9999,-9999,-9999,-9999,-2.945183333333333,-0.06935416666666668,1.0839475000000005,0.8994509583333333,0.3352377083333333,0.4432564639583332,-9999,-9999,-0.18449435416666665,-2.8627163125000017,3.0236206250000013,-12.462115624999996,8.935833333333333,0.20893797916666668,316.7527083333333,318.7725,6.706216041666669,0.23102083333333345,96.46952083333332,92.77764583333334,0.8029166666666664,6.487999999999999,-2.945183333333333,-0.06935416666666668,1.6440416666666666,2.443653176469763,0.23127876085742,6.122894257599633,1.0
20121130,-9999,-9999,-9999,-9999,-9999,36.42562499999999,10.766152083333333,293.3527708333333,311.77333333333326,7.231420833333335,-9999,95.2676875,-9999,-0.608125,0.0,-9999,-9999,-9999,-9999,-3.8374687500000007,-0.06745833333333331,0.7846069750000003,0.8965515625,0.7853424999999997,0.3459517372916668,-9999,-9999,0.11194649999999999,6.138270833333333,4.752683333333334,-6.209374443749998,36.42562499999999,10.766152083333333,293.3527708333333,311.77333333333326,7.231420833333335,0.2787708333333333,95.2676875,93.52885416666668,-0.608125,0.7080000000000002,-3.8374687500000007,-0.06745833333333331,0.9844374999999996,4.035854112523212,-0.0020263050263390533,5.890052105693845,1.0
20121201,-9999,-9999,-9999,-9999,-9999,24.44020833333333,5.0623458333333335,293.7583541666668,307.335625,5.7992645833333345,-9999,93.3406875,94.4036391304348,-2.033125,0.0,-9999,-9999,-9999,-9999,-3.96929375,-0.07320833333333336,0.010461416666666628,0.8804457291666666,0.6415408333333333,0.267320946875,-9999,-9999,0.8699835416666666,1.8675666666666684,4.750104166666667,0.5066425000000001,24.44020833333333,5.0623458333333335,293.7583541666668,307.335625,5.7992645833333345,0.35356249999999995,93.3406875,94.169875,-2.033125,0.23399999999999999,-3.96929375,-0.07320833333333336,0.6334791666666667,3.0661587216956483,0.05462393714534322,6.351981935858443,1.0
