,TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,PPFD_IN,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC,FCH4_F_MODEL,FCH4_F_NORM
0,2006-01-01,0.2462599999999999,4.742675,0.1330125,10.173333333333334,0.1018473,-0.2643890577507596,-0.5552170212765958,0.227761112772442,92.6574042553192,97.86353978723406,-8.923957446808512,21.40099999999999,0.2203404255319149,0.8159787234042556,1.7316808510638293,,-0.0483650574042553,0.2075282978723404,0.0008890963829787,0.1143681489361702,278.595744680851,1.0234468085106383,0.255894255319149,0.1930409148936172,0.021572829787234,9.658379723404254,0.1109148936170212,276.13000000000005,-0.5552170212765958,0.0082127659574468,92.6574042553192,97.8635744680851,-8.923957446808512,21.40099999999999,,1.0234468085106383,-0.3666463856780375,0.1778051275874953,10.77342702505748,1.0,2.5450506638054178e-26,9.658379723404254
1,2006-01-02,0.33649375,-2.4351647058823525,-0.6415058823529411,9.04,0.1528086333333332,-0.2102420634920634,-0.4415083333333335,0.2606620938938859,92.91831249999996,98.17870104166668,-6.803645833333333,9.911,0.2174166666666666,0.8077083333333333,1.7169583333333331,,-0.039776515625,0.25145875,0.0012215270833333,0.1691176666666666,200.2083333333333,1.6683333333333332,0.2912349999999999,-2.360799020833332,-0.2680074375,9.307499020833331,0.1528333333333333,281.12829166666654,-0.4415083333333335,0.0080625,92.91831249999996,98.17872916666664,-6.803645833333333,9.911,,1.6683333333333332,-0.5270373717793794,0.2225699682429529,10.266657984749934,1.0,1.0645755818846885e-26,9.307499020833331
2,2006-01-03,,,,,0.05335,-0.2078700396825396,-0.4365270833333334,0.25563764049497,92.12347916666666,99.06014312499995,-8.4005,0.0,0.2158125,0.799020833333333,1.7034374999999995,,-0.0749308958333333,0.2181860416666667,0.0012350604166666,0.1269457708333333,231.1875,0.5333541666666667,0.2931185416666668,-3.0988695833333324,-0.0863012083333333,9.318102312499995,0.1544166666666666,255.62900000000016,-0.4365270833333334,0.0101041666666666,92.12347916666666,99.0601041666667,-8.4005,0.0,,0.5333541666666667,-0.4860726083013104,0.1648336068880311,10.14055070379879,1.0,6.533384507327731e-27,9.318102312499995
3,2006-01-04,0.2066411764705882,-5.845966666666667,0.3857722222222222,9.409285714285716,0.1842525333333333,-0.0397936507936507,-0.0835666666666667,0.4395682198754529,88.31922916666667,99.823474375,-6.655166666666666,14.198000000000004,0.2134791666666666,0.7890833333333332,1.689729166666667,,-0.0060494170833333,0.2520897916666668,0.0024379395833333,0.1693189583333333,157.9375,2.438520833333333,0.2581389583333333,-5.474275000000001,-0.0492549166666666,9.362972458333331,0.3069791666666666,270.16966666666667,-0.0835666666666667,0.0862083333333333,88.31922916666667,99.82341666666667,-6.655166666666666,14.198000000000004,,2.438520833333333,-0.092361054790668,0.1761653899244011,9.661345170709156,1.0,3.1697884780325474e-27,9.362972458333331
4,2006-01-05,0.4163777777777777,-20.18227272727273,0.2718636363636364,10.581,0.2233578333333332,0.1653055555555554,0.3471416666666666,0.8676739859355759,86.30037499999997,99.49173645833334,-1.1245833333333333,7.786000000000002,0.2104375,0.7800416666666666,1.6751041666666664,,-0.0554144104166666,0.3724120833333333,0.0039532645833333,0.4042310416666666,224.66666666666663,2.8052083333333333,0.4278277083333333,-11.775447916666666,-0.6567493749999996,10.141329937500002,0.5019375,279.4678541666669,0.3471458333333333,0.6628125,86.30037499999997,99.49177083333332,-1.1245833333333333,7.786000000000002,,2.8052083333333333,-0.0343774051476175,0.204002399434469,9.796555741903893,1.0,1.2053402507892044e-27,10.141329937500002
5,2006-01-06,,,,,,0.479970238095238,1.0079374999999997,0.3618731417884145,90.32197777777776,99.99099895833336,-8.603354166666668,0.0,0.2107916666666666,0.7740125000000001,1.6638749999999998,,-0.1006601666666666,0.212254375,0.00649316875,0.1624182916666667,135.93478260869566,0.772625,0.3129154166666665,-7.5088625,-1.0732091666666663,14.1162915,0.8304999999999999,236.73881249999997,1.0079499999999992,0.0708333333333333,90.27272916666664,99.99097916666663,-8.603375000000002,0.0,,0.7726249999999998,-0.4277012540783486,0.1598911217311942,9.715082637200116,1.0,1.3509146591943845e-27,14.1162915
6,2006-01-07,,,,,0.0527192,0.2390853174603174,0.5020791666666664,0.2509890242420938,89.20187500000002,99.93560833333332,-12.572458333333335,0.0,0.21025,0.7673333333333329,1.6507916666666669,,-0.1511902083333332,0.1310835625,0.0046218770833333,0.0538956875,234.9787234042553,0.61265625,0.2822745833333334,-3.48393125,-0.7318370833333333,16.59691166666667,0.5864583333333334,259.1922500000002,0.5020687499999998,0.0135208333333333,89.20187500000002,99.9355625,-12.572458333333335,0.0,,0.6126458333333334,-0.4385146122335957,0.1633048296259181,9.719180779425306,1.0,1.134557663780502e-27,16.59691166666667
7,2006-01-08,0.0674333333333333,3.7883,0.371125,1.25,0.0642591999999999,0.2801488095238098,0.5883125,0.2051449342218865,80.40970833333331,99.63045645833336,-21.87479166666667,0.0,0.2126666666666667,0.7648958333333332,1.6429375000000006,,0.242750625,0.0364894375,0.0051653458333333,0.008195295625,162.27083333333334,0.663625,-0.206261875,-0.5150145833333339,0.4611584166666667,9.160548708333332,0.6593541666666667,234.7201875000001,0.5883270833333333,0.0,80.40970833333331,99.63045833333332,-21.87479166666667,0.0,,0.663625,-0.4325936459278668,0.1537915210615483,9.393835306319598,1.0,2.454909430654536e-27,9.160548708333332
8,2006-01-09,-0.0129857142857142,-2.4981125,-0.8222625,22.063333333333336,0.2015908571428571,0.3143184523809525,0.6600687499999998,0.2005150309957802,79.95966666666669,98.64118395833331,-22.372104166666663,5.827999999999999,0.2111250000000001,0.7578541666666666,1.6305000000000005,,0.4320481458333332,0.0310659395833333,0.00549653125,0.0074044325,180.0,1.1947291666666668,-0.4009825833333331,1.881033333333333,0.5860501041666665,7.268026687499997,0.701375,223.67922916666657,0.660077083333333,0.0178125,79.95966666666669,98.64116666666666,-22.372104166666663,5.827999999999999,,1.1947291666666668,-0.5307881771515683,0.1327365400051431,12.257325972734936,1.0,1.5034243033503297e-27,7.268026687499997
9,2006-01-10,0.24268,-15.05994,-1.53516,8.325,0.3802849782608696,0.2464325396825397,0.5175083333333331,0.3902418486050297,86.52939583333333,96.6256527083333,-9.797020833333333,3.1960000000000006,0.2029166666666667,0.7437291666666664,1.6112083333333331,,-0.0456088749999999,0.1630325,0.0046691225,0.0965661041666667,182.5833333333333,4.172437500000002,0.2086404166666667,-1.4313217083333338,-0.2419353749999999,6.869128333333332,0.594,254.82502083333333,0.5175229166666663,0.1377083333333333,86.52939583333333,96.62564583333334,-9.797020833333333,3.1960000000000006,,4.172437500000002,-0.4027367582573112,0.1643669162697401,9.665340668591629,1.0,9.744642395208289e-29,6.869128333333332
