,TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,G,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC,FCH4_F_MODEL,FCH4_F_NORM
0,2013-01-01,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.334158042553192,0.0067460191489361,0.3602597468085106,,,,,,,1.2493617021276595,,341.39746808510625,,,,,0.6632553191489361,,99.97565957446804,5.830595744680849,4.772,,,3.873744680851064,-0.9722659056192112,0.6272715401262339,11.06253338598528,3.0,,
1,2013-01-02,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.087623541666668,0.0903941666666666,0.2883017458333332,,,,,,,19.8505625,,299.58475,,,,,0.0531874999999999,,101.15491666666668,3.3357916666666667,0.4060000000000001,,,3.5079375,-2.3524596978640284,0.5253951439650644,10.469685536969676,3.0,,
2,2013-01-03,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.356108208333333,0.0317268291666666,0.36796741875,,,,,,,6.169958333333333,,337.30337500000013,,,,,0.1102708333333333,,101.68495833333331,6.0485625,4.203999999999999,,,4.810895833333333,-3.4789337328821177,0.601289894824565,10.874378551880207,3.0,,
3,2013-01-04,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.346015500000001,0.03955936875,0.3642032770833334,,,,,,,7.916791666666667,,320.6481874999999,,,,,0.3744791666666667,,102.09075000000004,5.949062500000001,3.844,,,4.565770833333334,-1.979843908261179,0.6047352949369685,11.037224523477882,3.0,,
4,2013-01-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.1949285208333342,0.0846638125,0.31922899375,,,,,,,18.402812500000003,,319.9724375,,,,,0.0073541666666666,,102.44320833333336,4.4232708333333335,0.3640000000000001,,,1.902854166666667,-3.3401894710169864,0.5462632187001362,10.856395139846532,3.0,,
5,2013-01-06,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.191889791666666,0.0246604166666666,0.3176352083333333,,,,,,,4.709708333333333,,342.899875,,,,,0.0,,102.15102083333336,4.395395833333333,1.1900000000000002,,,2.1779791666666672,-3.747803344708063,0.5584216517801078,10.42742435907653,3.0,,
6,2013-01-07,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.9936341875,0.0535961875,0.2630911145833333,,,,,,,10.923125000000004,,326.53768750000006,,,,,0.0062083333333333,,102.51720833333336,2.3742916666666667,0.264,,,1.7109375000000009,-2.885201566931224,0.5067382901246396,10.72195479463907,3.0,,
7,2013-01-08,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.2116461249999992,0.01569858125,0.3234740625,,,,,,,2.955,,348.585625,,,,,0.0,,101.944125,4.594916666666667,5.2280000000000015,,,1.9660625000000005,-3.8435994167182095,0.5599727455587366,10.362162154022831,3.0,,
8,2013-01-09,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.2577150833333333,0.0092114749999999,0.3368847833333333,,,,,,,1.717770833333333,,350.11775000000017,,,,,0.0,,101.3650625,5.061145833333332,7.312,,,2.328208333333334,-4.026357356360268,0.5694724322077998,10.71032284829328,3.0,,
9,2013-01-10,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.8898670625,0.0434630541666666,0.2380223624999999,,,,,,,8.6221875,,311.820375,,,,,0.0402083333333333,,100.51281249999998,1.2935416666666668,2.2620000000000005,,,3.5468958333333336,-2.388077908258019,0.4689222765024363,10.855344961815812,3.0,,
10,2013-01-11,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.6349408958333338,0.1036110833333333,0.1769840333333333,,,,,,,23.02883333333333,,265.08762499999995,,,,,0.3107708333333333,,101.0066875,-1.3675833333333332,1.864,,,2.7756875,-0.0441638926966444,0.3984636946753555,10.844895964847211,3.0,,
11,2013-01-12,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.6347738541666663,0.0783106041666666,0.1771142520833333,,,,,,,16.492562500000002,,284.0863750000001,,,,,0.2583541666666666,,101.62714583333336,-1.3711666666666664,0.97,,,2.4176041666666666,-0.3650275233243,0.4030514041113274,10.605051659662236,3.0,,
12,2013-01-13,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.410799479166666,0.1248057083333333,0.1324521270833333,,,,,,,28.972979166666665,,263.65231250000005,,,,,0.0639791666666666,,102.00914583333332,-3.8041875000000007,0.114,,,2.124625,-1.330364106502952,0.3616322069940587,10.570572326910671,3.0,,
13,2013-01-14,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.3140118958333336,0.1195852083333333,0.1147147979166666,,,,,,,27.60927083333333,,269.473125,,,,,0.0898749999999999,,101.60389583333334,-4.878125,0.4,,,2.5090833333333333,-1.1696521042575672,0.3405189718746608,10.64620652785384,3.0,,
14,2013-01-15,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.248382,0.1324002083333333,0.1037666354166666,,,,,,,31.448229166666664,,254.129,,,,,0.0228333333333333,,100.9853125,-5.625666666666668,0.026,,,1.4135208333333331,-1.52562549053373,0.3207485549742806,10.494311012897198,3.0,,
