,TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,TA,P,TS_1,TS_2,TS_3,TS_4,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC,FCH4_F_MODEL,FCH4_F_NORM
0,2012-01-01,,,,,,,,,,,,0.0,,,,,,,0.3420938255319149,0.0862142978723404,0.294140739361702,,,,,,,4.500489361702128,261.4669787234044,,,0.0404893617021276,,99.19078723404256,-4.410595744680852,0.094,,1.8722765957446807,-1.8904169893536409,0.2969143409700489,17.457651945276822,3.0,,
1,2012-01-02,,,,,,,,,,,,0.0,,,,,,,0.3936759708333333,0.0299465208333333,0.3338986225,,,,,,,1.2612708333333331,289.25204166666657,,,0.1687083333333333,,98.84270833333336,-2.562791666666667,5.05,,4.6885625,-1.5037631336900104,0.2765911134207336,10.6346272097041,3.0,,
2,2012-01-03,,,,,,,,,,,,0.0,,,,,,,0.4870724875,0.0238488125,0.4045479445833336,,,,,,,0.9761458333333332,308.0171875,,,0.03475,,98.14,0.5581875000000001,1.954,,3.3762916666666665,-1.598241674337911,0.2415663609186169,14.69226156376532,3.0,,
3,2012-01-04,,,,,,,,,,,,0.0,,,,,,,0.4812030291666667,0.01228440625,0.4001959383333333,,,,,,,0.48775,307.52268750000013,,,0.0865416666666666,,96.42720833333333,0.3753125,6.0360000000000005,,4.635416666666668,-1.5356250675453251,0.250964616561326,14.739032632361427,3.0,,
4,2012-01-05,,,,,,,,,,,,0.0,,,,,,,0.4772583458333333,0.0560757916666666,0.3972432981250002,,,,,,,2.6056041666666667,303.5121666666667,,,0.0220625,,95.34660416666668,0.2482500000000001,4.577999999999999,,3.1606666666666663,-1.7044772626671023,0.2475761922694273,16.45228415695538,3.0,,
5,2012-01-06,,,,,,,,,,,,0.0,,,,,,,0.3517028791666667,0.0499587083333333,0.3011079406250001,,,,,,,2.2659583333333333,280.46849999999995,,,0.0,,97.00927083333332,-4.1515,0.4240000000000001,,1.8929791666666669,-2.169969170360752,0.2879641359119325,17.031542163504493,3.0,,
6,2012-01-07,,,,,,,,,,,,0.0,,,,,,,0.2070795729166666,0.0634407291666666,0.1867888866666666,,,,,,,3.057395833333333,245.63431250000008,,,0.0,,97.66860416666668,-9.954395833333333,0.308,,1.4592291666666666,-2.7272055228112424,0.3332378624998049,18.533993900989486,3.0,,
7,2012-01-08,,,,,,,,,,,,0.0,,,,,,,0.1670185395833333,0.1116383333333333,0.1539670877083333,,,,,,,6.5261458333333335,225.1407291666667,,,0.0,,99.21772916666664,-11.842979166666671,0.076,,1.1647708333333333,-2.882355154274965,0.3734514069259513,19.714880379450094,3.0,,
8,2012-01-09,,,,,,,,,,,,0.0,,,,,,,0.2169701145833333,0.0641685416666666,0.195028050625,,,,,,,3.047791666666667,252.87060416666688,,,0.0,,99.86660416666666,-9.44925,0.214,,1.3622291666666668,-2.6603885356443184,0.3293778459783618,16.08951800848076,3.0,,
9,2012-01-10,,,,,,,,,,,,0.0,,,,,,,0.2273287854166667,0.0617394583333333,0.2031779204166665,,,,,,,2.950083333333333,255.29345833333355,,,0.0,,99.69114583333334,-9.047479166666667,0.266,,1.1033125,-2.641364217937089,0.3329696193442177,18.77685524419124,3.0,,
10,2012-01-11,,,,,,,,,,,,0.0,,,,,,,0.3967788416666665,0.0208352608333333,0.3362199497916667,,,,,,,0.8497083333333334,286.81541666666675,,,0.0,,98.610875,-2.4638750000000003,2.1099999999999994,,2.053958333333334,-2.179674004945092,0.2655204755065071,16.70990661793901,3.0,,
11,2012-01-12,,,,,,,,,,,,0.0,,,,,,,0.4183273916666666,0.0292656875,0.3525527077083333,,,,,,,1.2188958333333335,273.3190625000001,,,0.0,,96.91079166666664,-1.7387708333333327,3.848,,2.4884583333333343,-2.1466593981203643,0.2448117959005455,16.06104007688467,3.0,,
12,2012-01-13,,,,,,,,,,,,0.0,,,,,,,0.3845003229166668,0.02286603125,0.3267612033333333,,,,,,,0.9311041666666666,292.2808958333335,,,0.1642083333333333,,96.28229166666672,-2.9024375,4.212,,4.512666666666667,-1.827012934579061,0.2557141168880902,12.280089601038958,3.0,,
13,2012-01-14,,,,,,,,,,,,0.0,,,,,,,0.3035724375,0.0825834791666666,0.2641110229166667,,,,,,,4.140208333333333,264.0745208333332,,,0.3467291666666666,,98.75297916666663,-5.855145833333334,0.2920000000000001,,4.785458333333333,-1.442707603917747,0.3151822139361194,8.137822202316253,3.0,,
14,2012-01-15,,,,,,,,,,,,0.0,,,,,,,0.22198405,0.1427982916666666,0.198952305625,,,,,,,9.427895833333332,233.53733333333344,,,0.0065416666666666,,100.17720833333334,-9.260541666666663,0.066,,1.8434791666666663,-2.4951410934203646,0.3309832283959118,14.395709031173086,3.0,,
15,2012-01-16,,,,,,,,,,,,0.0,,,,,,,0.1498314604166666,0.0716178333333333,0.1394685408333333,,,,,,,3.409104166666668,240.80429166666667,,,0.0,,100.35233333333336,-12.785604166666666,0.384,,1.5049583333333332,-3.0295862296546043,0.3403646798052227,15.98174896743666,3.0,,
