TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,VPD,RH,PA,TA,P,D_SNOW,TS_1,TS_2,TS_3,TS_4,TS_5,G,WTD,SWC_1,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,D_SNOW_F,G_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160924,-5.293920833333334,57.98561428571429,129.05783750000003,104.85064285714284,0.17564297586206892,239.97367162162163,29.38282444444444,352.74185416666666,402.93458333333336,105.26333645833334,347.7716381312501,2.9669262177449163,88.65331250000001,101.61041666666661,17.35180833333333,0.05,0.0,18.332791666666672,17.9113125,17.670270833333326,17.555867708333334,17.623439583333333,3.0273715625000013,-0.0238991875,92.3675,5.1285808333333325,3.8734475687499987,3.815259375,1.8064604166666671,168.96420833333332,1.3423958333333337,-1.2551145833333333,20.644870833333336,64.42880062499997,105.72439583333332,187.486875,27.124425,352.74185416666666,402.93458333333336,105.26333645833334,347.7716381312501,2.969125,88.65331250000001,101.61041666666661,17.351833333333328,0.05,0.0,3.0273715625000013,-0.0238991875,1.3423958333333337,63.51226332121334,-1.6881613726927978,103.5261540046219,1.0
20160925,-3.903295454545456,54.1278304347826,117.11401304347828,108.16243478260868,0.3080279941176471,235.6732154054053,30.524145833333325,332.87533333333334,399.1277083333334,82.2717979166667,330.73584722083325,4.1281624260180605,84.25908333333331,101.47777083333332,18.020416666666673,0.0,0.0,18.211687500000007,18.0318125,17.850333333333335,17.756184375,17.773645833333326,1.3483518854166665,-0.03988520833333333,92.1440625,5.107529104166668,4.042726408333335,4.026510208333334,2.3630875,178.15104166666663,2.4648749999999997,-1.064820833333333,18.62734375,63.30289666666667,107.25020833333338,184.01939583333328,30.524145833333325,332.87533333333334,399.1277083333334,82.2717979166667,330.73584722083325,4.131083333333334,84.25908333333331,101.47777083333332,18.020416666666666,0.0,0.0,1.3483518854166665,-0.03988520833333333,2.4648749999999997,66.3286893518392,-1.3941786080299008,104.29712751248152,1.0
20160926,-6.462797222222223,75.87349444444446,144.50999999999996,102.612,0.192933853125,261.29900088235297,30.86572000000001,316.557,391.81687499999987,75.70187291666666,333.65806173541665,4.423177482568431,83.44391666666667,101.65068749999996,17.19819375,0.0,0.0,17.91075,18.105145833333328,17.8328125,17.85805520833334,17.8736875,0.6534910416666665,-0.052472291666666684,91.77358333333332,4.8646736979166665,3.774000672916667,4.098070229166667,2.370352083333333,232.73589583333333,1.6954583333333335,-1.0906668750000006,14.704929166666671,61.22005666666666,104.07643749999998,187.00872916666665,30.86572000000001,316.557,391.81687499999987,75.70187291666666,333.65806173541665,4.426291666666666,83.44391666666667,101.65068749999996,17.198187500000003,0.0,0.0,0.6534910416666665,-0.052472291666666684,1.6954583333333335,66.02408326728205,-1.5468079021957108,99.68096237667002,1.0
20160927,-5.20285,49.44963636363636,153.18540000000004,136.39909090909092,0.1922227290322581,248.33639187499998,24.60642708333334,320.0994583333333,387.09145833333326,70.34828333333336,304.48103548541667,5.5489917310489725,78.52270833333336,101.49795833333336,15.769651458333335,0.05,0.0,17.407041666666665,17.35883333333333,17.442854166666667,17.59579895833333,17.690514583333332,-2.7287638750000007,-0.06154522916666665,91.12858333333332,4.463584395833334,3.4216323041666654,3.609963729166666,1.9940104166666657,164.06591666666662,1.562875,-1.0419785416666665,9.302137500000006,58.12492666666668,114.69104166666666,167.22941666666662,24.60642708333334,320.0994583333333,387.09145833333326,70.34828333333336,304.48103548541667,5.552979166666668,78.52270833333336,101.49795833333336,15.76964583333333,0.05,0.0,-2.7287638750000007,-0.06154522916666665,1.562875,62.71460657759716,-1.3844620063687425,107.1410979519892,1.0
20160928,0.6502859375000001,-6.517717391304349,33.02924210526316,119.76,0.2483535964285714,49.591851022222215,3.162401875,369.2361875,395.11083333333335,16.779326166666674,92.75593048541668,1.3104965915508608,93.89549999999996,100.74237499999994,17.452220833333335,8.35,0.0,17.958687500000003,17.844083333333334,17.782666666666668,17.814896875000006,17.845654166666666,-0.3076855625000001,-0.041145958333333336,91.52108333333337,2.6890235625000005,3.5138953333333336,1.6785893749999998,1.943924999999999,176.00708333333336,2.1659583333333328,0.824869895833333,-17.473760000000002,27.62330833333333,114.6295833333333,50.13874999999999,3.162401875,369.2361875,395.11083333333335,16.779326166666674,92.75593048541668,1.31175,93.89549999999996,100.74237499999994,17.45220833333333,8.35,0.0,-0.3076855625000001,-0.041145958333333336,2.1659583333333328,25.43363610335514,0.3898309857082494,110.25660864876738,1.0
20160929,-1.5670957692307692,21.983061481481485,39.925403884615385,111.82319230769228,0.18941966756756756,144.95980076923078,14.4074676125,316.32852083333336,374.7022916666668,42.78437708333333,217.41521520833336,2.1710196564339856,88.89070833333334,100.99025000000003,13.2866975,0.0,0.0,16.913687499999998,17.030625,17.133729166666672,17.34479895833333,17.493118749999994,-2.6363847916666665,-0.039291541666666666,92.60420833333336,3.6626337916666665,2.7520744645833326,2.6125215,1.3215958333333335,81.5104791666667,1.924979166666667,-0.9105733333333332,7.892326250000006,37.89646460416667,107.14827083333334,120.1434375,14.4074676125,316.32852083333336,374.7022916666668,42.78437708333333,217.41521520833336,2.173270833333333,88.89070833333334,100.99025000000003,13.2866875,0.0,0.0,-2.6363847916666665,-0.039291541666666666,1.924979166666667,35.8346306972124,-0.8790514128433811,106.35763559823963,1.0
20160930,-5.20811625,69.49609473684211,117.440375,102.7995,0.25025508461538465,204.95752974358982,27.62608125000001,292.2905,370.56083333333333,58.47610416666668,299.51655625,4.016809303416733,80.103875,101.2743125,12.59109854166667,0.2,0.0,15.939479166666665,16.370958333333334,16.371374999999997,16.668471874999998,16.89215625,-6.29930979166667,-0.05293412500000002,92.73429166666666,3.7018217791666665,2.5148166500000007,3.115408958333333,1.1394272916666666,194.916875,1.7634375,-1.1869827083333333,6.352837499999999,62.04626458333336,97.43422916666668,169.5495625,27.62608125000001,292.2905,370.56083333333333,58.47610416666668,299.51655625,4.020833333333333,80.103875,101.2743125,12.591104166666666,0.2,0.0,-6.29930979166667,-0.05293412500000002,1.7634375,53.68861625440254,-1.3272596911527328,96.47710446857796,1.0
20161001,-6.14279375,88.8565120625,157.519625,100.13293749999998,0.16248418235294115,259.25314361111106,31.94501666666666,299.73352083333333,379.4264583333333,79.97756458333333,352.7114777083333,5.172973069829951,77.92066666666669,101.53056249999996,14.238783333333332,0.0,0.0,16.213958333333334,16.519708333333334,16.42797916666667,16.652640625,16.845179166666668,-2.2765743125,-0.06488189583333336,91.15681250000004,3.9885906666666666,2.5481307416666668,3.302443541666667,1.1774725,215.27916666666655,1.399166666666667,-1.4404643749999997,19.5382350625,69.51625416666664,98.40216666666664,197.0188333333334,31.94501666666666,299.73352083333333,379.4264583333333,79.97756458333333,352.7114777083333,5.177333333333333,77.92066666666669,101.53056249999996,14.238770833333332,0.0,0.0,-2.2765743125,-0.06488189583333336,1.399166666666667,66.68981164406394,-1.5513185366558524,93.55095343466776,1.0
20161002,-5.7470461538461555,74.1518266666667,124.81406666666666,103.00564285714287,0.2226756821428572,221.16181742857142,25.42289166666667,312.57620833333334,378.438125,66.91458333333334,291.15663818750005,4.166382457073941,82.78452083333336,101.48406249999998,14.280692916666665,0.05,0.0,16.019125,16.654541666666667,16.177249999999994,16.427428125,16.621808333333338,-3.9140860416666654,-0.07372889583333335,88.18341666666667,3.7018758333333337,2.434347725,2.8742935416666664,1.0165025000000003,221.18020833333333,1.5739374999999998,-1.2675197916666674,0.5106145833333352,62.352375000000016,98.01864583333332,163.54958333333332,25.42289166666667,312.57620833333334,378.438125,66.91458333333334,291.15663818750005,4.169812500000001,82.78452083333336,101.48406249999998,14.280666666666667,0.05,0.0,-3.9140860416666654,-0.07372889583333335,1.5739374999999998,52.51830892459833,-1.2475210950710904,93.6155471674886,1.0
20161003,2.9424,-27.71965555555556,18.818666666666672,-9999,0.18958900322580646,26.760885116279066,-1.164199166666667,374.402,384.1108333333335,14.280606249999995,57.17435486041666,0.24285832082350764,98.74029166666664,100.63545833333336,15.122014583333335,10.900000000000002,0.0,16.357604166666665,16.866270833333335,16.449312499999998,16.638128124999998,16.76823125,-2.822304645833333,-0.05626720833333337,88.8778125,1.07865549375,2.3986332145833336,0.8768151666666665,0.8619089583333329,176.80791666666667,1.6782708333333336,1.3199896458333336,-27.150783333333337,25.39964583333333,106.99777083333338,27.32347916666667,-1.164199166666667,374.402,384.1108333333335,14.280606249999995,57.17435486041666,0.24312500000000006,98.74029166666664,100.63545833333332,15.122020833333332,10.900000000000002,0.0,-2.822304645833333,-0.05626720833333337,1.6782708333333336,15.495087697597981,0.8319033245331101,98.8316680691052,1.0
