TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,D_SNOW,TS_1,TS_2,G_1,G_2,SWC_1,SWC_2,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,D_SNOW_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160504,-2.0043941666666667,41.22184567567568,51.75505142857143,30.08454545454546,0.16561022222222224,164.99587333333332,18.116292222222224,294.56622222222234,345.7022222222222,95.33404888888892,-9999,23.857116395555558,3.6640836444444447,71.27075555555554,99.3947333333333,6.176092444444443,1.016,-1.6749999999999996,0.8364473333333333,1.9663202222222236,40.79660000000001,19.262160244444445,9.806191111111113,10.451177777777778,2.7995220833333327,1.6497121300000008,1.3718089999999998,0.4481804166666665,204.41795333333332,1.2704135555555558,-1.1498046875,30.08752687500001,38.527812916666655,33.74831875,178.48133333333328,19.537815625000004,295.6553125000001,348.61520833333327,105.69225416666669,25.925775787500005,4.086395833333333,68.9821375,99.40124999999996,6.6258333333333335,1.1079999999999999,-1.8940791666666659,1.254875,38.78604547032322,-0.5874001342792363,26.209921189130824,1.0
20160505,-1.1791027272727272,45.18356200000001,57.13590023809521,35.16666206896552,0.1742068085106383,239.34768333333332,26.30604791666667,274.1454166666667,351.4716666666667,135.08616875,-9999,34.13524514583332,6.981972124999999,50.65589583333332,99.24645833333336,7.59143125,0.0,-2.5604651162790697,0.9871327083333332,2.044753125,44.73635416666667,23.56499135416666,9.836043749999998,10.413645833333335,2.286134375,1.695325354583333,1.7066294375000002,0.4674578333333333,127.42284375,1.2174195833333332,-0.5908110416666666,37.4486475,49.83163354166666,29.815983333333325,239.3476875,26.30604791666667,274.1454166666667,351.4716666666667,135.08616875,34.13524514583332,6.981979166666666,50.65589583333332,99.24645833333336,7.591458333333333,0.0,-2.6524083333333333,1.2173958333333337,50.14221561245647,-0.5539637113786983,31.42041460226389,1.0
20160506,-1.0871661290322578,20.578047916666666,40.74712177777778,28.63793103448276,0.15731458333333334,178.63284916666663,18.991513541666666,301.55083333333334,359.65770833333335,101.01852291666664,-9999,26.66794775,7.620907291666668,45.1575,98.33310416666666,10.3047875,0.0,-3.861363636363636,1.1595316666666668,2.49519375,58.79704166666665,22.969556,9.88090833333333,10.343208333333337,2.978295354166665,1.8192857458333336,1.41438738125,0.55951625,204.28772291666667,1.1511627083333331,-1.1590081250000002,20.578047916666666,38.394007916666666,18.354726479166672,178.63283333333337,18.991513541666666,301.55083333333334,359.65770833333335,101.01852291666664,26.66794775,7.620937499999998,45.1575,98.33310416666666,10.30477083333333,0.0,-3.7604562500000007,1.151145833333333,38.71956161972782,-0.4755535037549856,27.311574631749878,1.0
20160507,-1.6186796666666663,45.913965853658546,54.251272702702714,27.16227272727273,0.2420353488372093,242.204373125,26.72100125,306.16895833333336,358.70166666666677,162.84138125,-9999,36.08209745729168,4.4775743750000006,66.28575,99.22822916666668,8.68645416666667,0.0,-3.0020833333333337,1.352782291666667,2.888275625,49.33910416666666,24.005843895833333,9.936002083333337,10.377874999999998,4.102525208333333,1.7751885820833335,1.858764677083333,0.5531204166666664,241.85854166666667,1.943822083333333,-2.3273375000000005,48.13336022916667,50.90793541666665,10.807449999999998,242.20439583333328,26.72100125,306.16895833333336,358.70166666666677,162.84138125,36.08209745729168,4.4775833333333335,66.28575,99.22822916666668,8.686437500000002,0.0,-3.0020833333333337,1.943833333333333,50.25766272781328,-0.906753073807234,26.04450510624744,1.0
20160508,-1.322921818181818,34.125477272727274,48.95332954545454,31.93592592592593,0.1872676595744681,207.30204020833332,22.51500433333333,305.50145833333335,360.8220833333333,129.00230624999998,-9999,30.78743944375001,6.776338604166668,57.01681249999999,100.06525,9.514726875,0.0,-3.0468085106382983,1.5608972916666668,2.8596147916666674,57.480375,22.965197291666666,9.941064583333334,10.504666666666663,2.8121085208333327,1.8161273520833336,1.7459702043750005,0.6577560416666668,162.823825,1.40555875,-0.9959806249999996,31.849604166666666,46.22438333333334,23.313708333333334,207.30204166666667,22.51500433333333,305.50145833333335,360.8220833333333,129.00230624999998,30.78743944375001,6.776375000000002,57.01681249999999,100.06525,9.514770833333337,0.0,-3.041070833333333,1.4055625000000005,46.362799149085504,-0.7124651935135282,29.711591185085574,1.0
20160509,-2.331737241379311,43.51138073170733,50.233880000000006,32.11851851851852,0.17017687499999998,195.75418749999997,21.613536229166666,308.1100000000001,363.75166666666667,118.26850208333332,-9999,30.67894739166667,5.97325125,57.6295625,100.50395833333334,9.828641041666666,0.0,-2.184444444444445,1.8638066666666664,3.3885208333333323,48.90981250000001,23.872313333333334,9.928070833333337,10.685229166666668,3.8289535416666665,1.8495275889583327,1.6605386875,0.5869752083333333,177.62956416666665,1.2395577083333336,-1.979425,36.90792729166667,42.16292604166667,19.663172708333327,195.7541666666666,21.613536229166666,308.1100000000001,363.75166666666667,118.26850208333332,30.67894739166667,5.973229166666667,57.6295625,100.50395833333334,9.828625,0.0,-2.2101666666666677,1.2395208333333334,42.66346261335125,-1.0513422574993496,29.271373040733696,1.0
20160510,-1.718566129032258,45.99927999999999,56.07644431818183,34.526666666666664,0.18686583333333334,246.6138145833333,27.360569791666666,289.721875,362.80270833333344,145.67920479166662,-9999,36.911748739583345,7.360531604166668,56.40437499999999,101.01458333333328,9.651267208333335,0.0,-2.75625,2.000973958333333,3.5976931250000006,65.67722916666668,25.662352291666675,9.93902708333333,10.89322916666667,2.7258655208333327,1.848784378333333,1.978773520833334,0.7417868750000002,171.11384791666663,1.4075283333333335,-0.8770864583333332,39.59319708333333,51.31729270833335,31.43689583333333,246.6138125,27.360569791666666,289.721875,362.80270833333344,145.67920479166662,36.911748739583345,7.360541666666665,56.40437499999999,101.01458333333328,9.6513125,0.0,-2.75625,1.407541666666667,51.51786620319646,-0.7414753973898617,31.404491840564948,1.0
20160511,-1.2245957142857142,35.26831369565217,70.87487227272727,32.39411764705883,0.2214245833333333,251.41624375000006,27.728551458333346,310.444375,378.610625,155.24071875,-9999,38.72917061875,10.40736,49.0209375,100.95750000000002,13.193394791666668,0.0,-2.5227272727272725,2.5121575000000003,4.337189791666666,73.30945833333334,31.58134374999999,9.972797916666666,11.077354166666666,2.8166999999999995,1.9913363779166668,2.254636958333333,1.3230083333333338,141.80147916666667,1.6625185416666666,-0.8253607291666666,33.52334229166667,65.04996708333331,33.59108333333334,251.41625000000008,27.728551458333346,310.444375,378.610625,155.24071875,38.72917061875,10.407374999999998,49.0209375,100.95750000000002,13.193395833333332,0.0,-2.468922916666666,1.6625,65.17527017202838,-0.596997919866901,30.538458812653257,1.0
20160512,-0.3484536842105264,32.31997333333332,67.93491190476189,32.31756756756757,0.20291833333333326,277.90971458333337,30.480057291666654,318.9887500000001,397.9627083333332,167.83850833333338,-9999,43.28858089583333,12.869925,42.99045833333333,101.1025,17.36253541666667,0.0,-1.83125,3.491308333333334,6.2544312500000006,73.73889583333333,39.778404625,9.903022916666666,11.232479166666666,2.3035935625,2.1236459368750005,2.661409375,2.0045341666666667,176.7473916666667,1.3857562499999998,-0.17995062500000014,28.85209999999999,61.486697916666664,29.94327083333333,277.9097083333334,30.480057291666654,318.9887500000001,397.9627083333332,167.83850833333338,43.28858089583333,12.869916666666667,42.99045833333333,101.1025,17.36254166666667,0.0,-1.83125,1.385729166666667,61.694637012296155,-0.20133867377781747,31.092065803231193,1.0
20160513,-1.540957419354839,42.23261395348837,58.951965555555546,30.370842857142854,0.14926829787234047,273.19242456250004,30.068155833333336,324.28541666666666,397.6479166666666,169.45120000000003,-9999,43.3274155725,12.4335625,50.10920833333333,101.0520833333333,17.147356249999998,0.0,-2.546666666666668,4.000347916666667,7.091425,75.12408333333333,36.98126770833333,9.740566666666668,11.397104166666665,2.8723898958333343,2.077235871458333,2.95833716625,2.38415625,220.3103333333333,1.0092472916666668,-0.7951549062500002,37.83800208333333,58.06165104166666,27.081054166666664,273.19241666666665,30.068155833333336,324.28541666666666,397.6479166666666,169.45120000000003,43.3274155725,12.433562500000004,50.10920833333333,101.0520833333333,17.147333333333332,0.0,-2.5128458333333348,1.0092708333333336,58.25977891027264,-0.7620658868146576,29.538805491764226,1.0
